"","","","Z_midvein4","Z_midvein3","Z_midvein.ave","Z_distal.lobe3","Z_distal.lobe2","Z_distal.ave","Z_proximal.tip2","Z_proximal.tip1","Z_proximal.ave","Z_petiolar.vein6","Z_petiolar.vein5","Z_petiolar.ave","Z_distal.sinus","Z_proximal.sinus"
"1","MO_30_E34.jpg","E34","498.124020478836","496.827733614982","497.475877046909","449.224931286099","448.883475847574","449.054203566836","364.305711670844","364.0437479823","364.174729826572","225.069957766469","222.751962456002","223.910960111235","392.841381334757","290.837967872147"
"2","MO_32_E39.jpg","E39","462.483499045101","464.303136850269","463.393317947685","474.603446866961","443.337821280793","458.970634073877","322.561093266066","319.08043325939","320.820763262728","217.612183712218","214.131968654846","215.872076183532","406.305549775043","272.335868715452"
"3","MO_33_E43.jpg","E43","355.762649107519","357.559086026352","356.660867566936","338.689385720899","338.883645223549","338.786515472224","255.794106656115","254.735769965665","255.26493831089","139.787967214635","138.27963254941","139.033799882023","287.948780167585","216.001642097925"
"4","MO_34_E41.jpg","E41","458.700077271631","457.341363632244","458.020720451937","481.744341833923","467.837362528903","474.790852181413","328.203649854782","331.177425089634","329.690537472208","168.50111275597","166.421903606466","167.461508181218","384.008975011001","291.619213663983"
"5","MO_35_E44.jpg","E44","574.370937441998","571.237755910794","572.804346676396","673.844046415044","655.338152746351","664.591099580698","427.931069215592","424.21710348476","426.074086350176","195.691684943433","191.110504392092","193.401094667763","570.144278621649","404.545944101532"
"6","MO_40_E49.jpg","E49","527.063563529106","528.192363527721","527.627963528413","419.832865422658","406.1785321752","413.005698798929","411.866483219987","413.544708318218","412.705595769103","217.32823677562","211.600005907372","214.464121341496","441.099064711092","344.111264709541"
"7","MO_42_E52.jpg","E52","536.744943980844","536.161170627825","536.453057304335","475.236783088178","473.631485205534","474.434134146856","339.933941295953","339.429345291476","339.681643293714","152.023060385588","148.966475721889","150.494768053738","372.653086514791","286.306762930951"
"8","MO_43_E56.jpg","E56","849.683617589512","858.816191044393","854.249904316953","830.274726086492","824.115748410379","827.195237248436","772.186366609771","779.94520562537","776.06578611757","401.402878526051","394.253202622376","397.828040574213","719.625770800351","618.000202265339"
"9","MO_71_E96.jpg","E96","584.230262824513","585.232646047706","584.73145443611","538.56777660755","529.479933519675","534.023855063613","391.777998361317","393.68324831011","392.730623335714","298.734099995297","295.814975956255","297.274537975776","415.031625301012","348.518292202863"
"10","MO_74_E98.jpg","E98","421.115815160153","424.289220802273","422.702517981213","411.383114491832","413.024471161213","412.203792826523","439.450306380596","444.155224868514","441.802765624555","158.372977493005","156.604597633658","157.488787563332","349.740473621513","224.811956483636"
"11","MO_77.jpg","E101","372.384059213066","374.494183904103","373.439121558584","382.701802684545","377.319490323519","380.010646504032","334.441236824947","337.856779979328","336.149008402137","233.215655325709","227.642275902346","230.428965614028","306.177134642677","198.918518215374"
"12","MO_78.jpg","E102","511.286716910385","510.052218677656","510.669467794021","487.436056205324","486.871728944082","487.153892574703","377.814321827535","378.350088909729","378.082205368632","274.35333381973","267.445607346615","270.899470583173","411.087885710586","306.864218978036"
"13","MO_79.jpg","E103","314.339362614675","314.085613947853","314.212488281264","334.301700398009","327.858136665845","331.079918531927","267.128144863097","269.978995068135","268.553569965616","193.951011569932","189.917381453094","191.934196511513","237.644071857473","216.684262875734"
"14","MO_80.jpg","E105","302.020854872639","302.788716398085","302.404785635362","374.824065247951","369.003395497928","371.913730372939","343.501865189987","348.060631771247","345.781248480617","250.420119776746","243.324376890192","246.872248333469","299.172118334914","155.308161408214"
"15","MO_82.jpg","E108","413.54351134796","414.778555376239","414.161033362099","460.240426299125","459.726277256369","459.983351777747","330.400136198519","334.168370735472","332.284253466996","234.958704646157","228.698683618861","231.828694132509","357.76004528175","254.596248990436"
"16","MO_83.jpg","E109","768.380764985694","770.322610195235","769.351687590464","762.002624667396","766.565735965286","764.284180316341","668.185106754857","674.450312806659","671.317709780758","424.152354179486","417.279958248656","420.716156214071","467.771103093169","474.010485585498"
"17","MO_84_E110.jpg","E110","394.533805621267","399.528699567378","397.031252594323","356.674125467492","299.89853913949","328.286332303491","243.402464609543","245.798698125112","244.600581367328","110.2441512689","97.4789914699574","103.861571369428","301.702561769038","183.039144570226"
"18","MO_85.jpg","E112","477.406787644457","479.35040199107","478.378594817764","407.628835802866","396.913111118794","402.27097346083","255.379683565471","257.622632503435","256.501158034453","106.387337709899","106.196898495201","106.29211810255","240.620162289032","88.8577690750786"
"19","MO_98_E126b.jpg","E126","466.935354197987","463.500943904109","465.218149051048","455.185813706886","455.059954841118","455.122884274002","339.987320025321","340.412064677502","340.199692351412","223.826094200386","219.44130321341","221.633698706898","323.45111686312","285.300131246027"
"20","MO_99_E127b.jpg","E127","453.093424999746","453.024331453621","453.058878226683","396.574372456164","395.37324138085","395.973806918507","288.015624576168","289.307274172289","288.661449374228","209.526546714253","203.132284211545","206.329415462899","226.430609434767","211.37987815542"
"21","MO_100_E128.jpg","E128","497.435925522072","496.667708332241","497.051816927156","404.236703553747","404.896360196038","404.566531874893","283.16790513757","283.856698000946","283.512301569258","214.653793092505","208.181754457493","211.417773774999","329.632844995762","195.638674034558"
"22","MO_101_E129.jpg","E129","578.452395093149","578.713028960814","578.582712026981","526.45186152202","518.028775745132","522.240318633576","419.174560893192","416.977892099809","418.0762264965","261.001829070219","254.983159792956","257.992494431588","484.606090036021","343.512385350223"
