"","","","Z_mid.distal","Z_distal.prox","Z_prox.petiolar"
"1","MO_30_E34.jpg","E34","32.5966033272646","42.9046172882398","47.745850124937"
"2","MO_32_E39.jpg","E39","49.3819961320221","57.1330857061043","27.6030092179672"
"3","MO_33_E43.jpg","E43","61.8761404244536","54.4703972916042","20.6727647230396"
"4","MO_34_E41.jpg","E41","29.2803687729234","50.0102945742806","30.0022207143041"
"5","MO_35_E44.jpg","E44","34.1331857219675","61.9549973584271","23.0374665946835"
"6","MO_40_E49.jpg","E49","40.8972203543958","49.7078698076279","24.4613870118417"
"7","MO_42_E52.jpg","E52","39.339245616055","50.8886507104485","33.5388411722738"
"8","MO_43_E56.jpg","E56","44.7433674718497","55.0512974925087","70.1961227931396"
"9","MO_71_E96.jpg","E96","30.4164264257599","47.3690430966792","53.7161900894087"
"10","MO_74_E98.jpg","E98","11.8172754218623","54.1689383452446","66.2063627647262"
"11","MO_77.jpg","E101","36.1216850613646","43.5800395311375","53.395603067198"
"12","MO_78.jpg","E102","17.1689300949525","39.7778649044557","40.9852714312926"
"13","MO_79.jpg","E103","36.623229915028","38.3011594386023","44.8751534533047"
"14","MO_80.jpg","E105","18.6789462026281","32.9265225875033","57.3207960306256"
"15","MO_82.jpg","E108","34.8156996620469","45.3623380324933","48.8616288911501"
"16","MO_83.jpg","E109","20.398773164614","54.8772505523175","31.4202959376132"
"17","MO_84_E110.jpg","E110","63.7017181009413","52.5474460963987","NaN"
"18","MO_85.jpg","E112","41.2433706083906","36.0708512813839","53.2832557532655"
"19","MO_98_E126b.jpg","E126","26.6839844214582","66.1066792411886","39.0167871537072"
"20","MO_99_E127b.jpg","E127","40.1047975181147","42.1102835400257","44.5234672177249"
"21","MO_100_E128.jpg","E128","23.2917692648872","37.5890641884043","46.5546119252977"
"22","MO_101_E129.jpg","E129","47.3799752929391","31.275243313456","21.3887045279138"
"23","MO_113.jpg","E145","39.4100297202486","55.9969458671331","43.2566527698124"
"24","MO_114.jpg","E146","38.8240490341152","37.4021849887152","60.3608540152794"
"25","MO_115.jpg","E147","36.735283093606","58.0934345517661","26.0066362464949"
"26","MO_117_E149.jpg","E149","27.7518359216183","44.2158403047262","45.5870139905361"
"27","MO_118_E150.jpg","E150","36.836040394343","54.3533454984262","44.3758545326324"
"28","MO_120_E152.jpg","E152","33.4069064636051","52.4748582017288","45.5083767978817"
"29","MO_121_E153.jpg","E153","36.5009709805829","47.4866956565337","36.6246518717099"
"30","MO_122_E155.jpg","E155","33.6065210662899","51.4223684222392","NaN"
"31","MO_123_E154.jpg","E154","39.4210512565376","54.97044105911","47.8748739901863"
"32","MO_124_E156.jpg","E156","28.8068472932704","44.610538888696","33.80066423038"
"33","MO_125_E157.jpg","E157","28.1147670175702","36.9148103678663","10.5383495000649"
"34","MO_126_E158.jpg","E158","33.628808225496","56.6067850734714","37.993196476995"
"35","MO_127_E161.jpg","E161","42.6763028196723","48.0490871112691","NaN"
"36","MO_128_E163.jpg","E163","35.2550021666944","50.7165930618444","35.7465419338805"
"37","MO_129_E162.jpg","E162","19.6369049205246","44.6495029092365","49.3278012384007"
"38","MO_132_E165.jpg","E165","28.1226777572255","52.6832266836045","26.4862088117722"
"39","MO_133_E166.jpg","E166","29.9906614870492","48.5642457750416","57.9436456957429"
"40","MO_135_E170.jpg","E170","28.7936643050117","36.7919725604918","51.497063649272"
"41","MO_136_E172.jpg","E172","28.4028170827983","41.3514697936025","48.4903704123159"
"42","MO_137_E173.jpg","E173","35.8250751780741","49.7279702425888","52.8663415919578"
"43","MO_138_E174.jpg","E174","23.1729425007419","60.3721304582871","42.9747740333376"
"44","MO_139_E175.jpg","E175","47.7066744540581","35.6200990863568","52.3177955646974"
"45","MO_141_E177.jpg","E177","28.3600877935829","56.9538323666647","33.4874954398393"
"46","MO_143_E180.jpg","E180","38.2666869587155","31.113723951045","47.8684289386539"
"47","MO_145_E182.jpg","E182","32.5514343624148","58.6449176861353","37.3907356964254"
"48","MO_149_E186.jpg","E186","36.1207767321493","58.0782863956902","34.0310350301415"
"49","MO_150_E187.jpg","E187","55.2163161505897","58.2203319277445","37.9878530623654"
"50","MO_151_E188.jpg","E188","30.1879112740088","56.2993028538272","42.5821411682315"
"51","MO_152_E189.jpg","E189","50.2140757367629","44.8668845218312","40.0433695910056"
"52","MO_154_E192a.jpg","E192","40.9990631601572","62.4647660183411","39.1743479339077"
"53","MO_156_E194.jpg","E194","40.1575062627772","46.5210861353167","27.5760306244836"
"54","MO_158_E197.jpg","E197","27.9647951081286","66.5289894804979","35.8356686085309"
"55","MO_159_E199.jpg","E199","50.3260975938004","60.3819019818445","32.6515186039639"
"56","MO_161_E201.jpg","E201","NaN","48.5448958390189","47.4799404909437"
"57","MO_162_E202.jpg","E202","39.7755341533269","56.0529725147289","29.8617307909307"
"58","MO_163_E203.jpg","E203","37.4491150520259","43.7055516990478","43.0374231407054"
"59","MO_167_E206.jpg","E206","35.207160184042","60.7454775136587","44.1189407626043"
"60","MO_169_E210.jpg","E210","30.7067753859687","46.6485632733248","20.7297545373312"
"61","MO_170_E211.jpg","E211","36.1933927006023","42.415834084984","36.7293634513633"
"62","MO_171_212.jpg","E213","27.5001144443192","42.7612418995492","33.3084536692726"
"63","MO165_E205.jpg","E205","86.8000719591928","41.7701005586768","NaN"
