"","","","X_midvein4","X_midvein3","X_midvein.ave","X_distal.lobe3","X_distal.lobe2","X_distal.ave","X_proximal.tip2","X_proximal.tip1","X_proximal.ave","X_petiolar.vein6","X_petiolar.vein5","X_petiolar.ave","X_distal.sinus","X_proximal.sinus"
"1","MO_30_E34.jpg","E34","691.040421233085","692.435507305915","691.7379642695","736.567645079527","727.997192149805","732.282418614666","588.677950816913","598.313045152786","593.49549798485","363.024211008026","356.47841979284","359.751315400433","652.637712500588","474.725487460912"
"2","MO_31_E35.jpg","E35","828.795649656174","834.504954382537","831.650302019356","712.47164356836","717.155045842947","714.813344705654","535.793461865671","545.512383809021","540.652922837346","343.227705434745","338.77183308091","340.999769257828","564.086231784645","420.266778236158"
"3","MO_32_E39.jpg","E39","938.116463985149","937.579463298978","937.847963642064","802.605289043126","791.229581095146","796.917435069136","490.516309616714","498.885257348822","494.700783482768","316.215610778469","311.001607712886","313.608609245677","586.158041828311","428.565047571544"
"4","MO_33_E43.jpg","E43","716.746162722899","715.906733994031","716.326448358465","578.534056714037","558.953383367522","568.743720040779","483.247097019734","483.437425917771","483.342261468752","303.673925270182","295.046079263901","299.360002267041","517.845759640841","386.741919760452"
"5","MO_35_E44.jpg","E44","795.982281070377","795.989944520658","795.986112795517","649.18670623789","645.579874566269","647.383290402079","550.487159604109","555.364645776088","552.925902690099","321.735426847899","314.878715981249","318.307071414574","528.591660505536","416.090274927209"
"6","MO_36_E45.jpg","E45","613.675824664782","611.119001322983","612.397412993882","435.54886267559","428.71042182107","432.12964224833","309.323104717381","315.55981296103","312.441458839205","184.725425670101","179.154378648695","181.939902159398","339.566753051591","225.0519004341"
"7","MO_37_E46.jpg","E46","729.961129102091","732.162891711947","731.062010407019","550.6164726922","530.249941065532","540.433206878866","378.039812424565","382.503172245669","380.271492335117","232.965889730664","228.939626928149","230.952758329406","393.248649075874","316.425346645935"
"8","MO_38_E47.jpg","E47","611.335973004207","608.879376304535","610.107674654371","463.369453028574","460.487784854278","461.928618941426","333.624039901204","331.235565723248","332.429802812226","184.707877471428","181.006215362899","182.857046417163","357.902570541202","266.092089322475"
"9","MO_39_E48.jpg","E48","744.025479999845","746.847981110614","745.43673055523","668.256126047491","658.863035842807","663.559580945149","457.906649875278","457.812734641578","457.859692258428","227.623592801801","223.496084976896","225.559838889348","528.410115346026","377.882587585086"
"10","MO_40_E49.jpg","E49","595.815728131609","596.308119925429","596.061924028519","620.367028459766","603.809572630312","612.088300545039","443.349926005407","452.744315137142","448.047120571275","277.253757013318","271.026684623489","274.140220818403","488.169284162779","380.491334695023"
"11","MO_41_E50.jpg","E50","746.508719901516","754.291244075523","750.399981988519","630.648536737381","627.618368826949","629.133452782165","464.646298692887","467.647866336413","466.14708251465","223.012499400818","215.202624932876","219.107562166847","463.275655402915","408.055663958975"
"12","MO_42_E52.jpg","E52","738.35009160831","738.906588743801","738.628340176055","470.423257172729","465.679360600188","468.051308886459","424.138717612528","429.908790068312","427.02375384042","212.861266765469","210.321185069408","211.591225917438","473.226534430393","367.769171870074"
"13","MO_70_E95.jpg","E95","412.632239274878","409.966764235834","411.299501755356","434.446350862796","434.195233097969","434.320791980383","268.780492017185","278.349937230099","273.565214623642","189.414581159952","184.254960435262","186.834770797607","338.399479577023","236.623124634935"
"14","MO_71_E96.jpg","E96","992.365482067973","995.272450136142","993.818966102058","787.931627744438","773.004895772983","780.46826175871","602.054860364901","606.017788334633","604.036324349767","384.100296508607","377.1291234816","380.614709995104","658.500759301005","498.190514540371"
"15","MO_72_E97.jpg","E97","754.011438905273","757.531847515337","755.771643210305","813.04151185533","809.851992650509","811.446752252919","665.381745149354","667.897089960721","666.639417555038","429.941856534113","424.206854939898","427.074355737006","744.548520917207","434.240698103022"
"16","MO_73_588271a.jpg","588271 (Riparia parent)","619.989995977355","627.466238490168","623.728117233761","712.485110643724","707.651043947509","710.068077295617","406.099741442912","411.324405900015","408.712073671463","213.430334198305","210.39348242044","211.911908309372","525.167873054893","344.824610329657"
"17","MO_74_E98.jpg","E98","800.001406248764","800.140612642553","800.071009445659","609.606430412278","610.518836728237","610.062633570258","461.673805721096","462.106456229514","461.890130975305","255.641350332844","250.819157960472","253.230254146658","510.450781172877","405.723075371613"
"18","MO_75.jpg","E99","695.59417047586","697.793665778072","696.693918126966","598.481411574328","590.323004803303","594.402208188815","409.479711205574","417.703211489929","413.591461347751","243.968235637347","237.973212778245","240.970724207796","468.249933262142","348.152994944751"
"19","MO_76.jpg","E100","723.375666426512","721.377627029006","722.376646727759","543.785113808754","545.334988791293","544.560051300024","413.195171801414","410.504567575076","411.849869688245","236.074670390536","230.169502758293","233.122086574414","456.829563404121","330.518532006906"
"20","MO_77.jpg","E101","570.251782792478","572.667605839548","571.459694316013","482.619514616846","483.085834908249","482.852674762547","380.167145842457","386.318917188894","383.243031515676","235.008744045833","230.359731242246","232.68423764404","358.841538844098","317.233201113944"
"21","MO_78.jpg","E102","707.986581793751","713.264502130872","710.625541962311","612.459182313401","614.083056271707","613.271119292554","516.268341078552","520.502161378798","518.385251228675","302.907989330093","294.133048126184","298.520518728139","470.357576743481","336.107497684892"
"22","MO_79.jpg","E103","523.174752619046","526.250642861365","524.712697740206","398.872122922874","395.228147895617","397.050135409245","347.990259761678","356.438668560245","352.214464160961","261.84190565301","257.071996833572","259.456951243291","337.129427503741","289.518565898631"
"23","MO_80.jpg","E105","722.361692567511","723.538014819539","722.949853693525","571.204930728893","556.960831457653","564.082881093273","413.940657314548","417.071617085124","415.506137199836","233.581762511545","227.280289022167","230.431025766856","417.684108973516","326.553558989946"
"24","MO_82.jpg","E108","580.605072316803","583.124772240041","581.864922278422","565.753700827489","563.985150513735","564.869425670612","427.861042603787","434.917520661102","431.389281632445","258.243108115202","250.954005524917","254.598556820059","444.531776142044","364.026468665398"
"25","MO_85.jpg","E112","1007.11580764081","1009.53281274063","1008.32431019072","1028.00048638121","1022.03131067497","1025.01589852809","757.763155609983","764.857176210043","761.310165910013","390.765727060345","385.4306536564","388.098190358373","835.463942968217","652.090021307641"
"26","MO_86.jpg","E113","857.708958667216","858.88026742847","858.294613047843","742.878859572676","735.839656446974","739.359258009825","630.651250692488","633.605752814793","632.128501753641","356.914292933191","354.428589422467","355.671441177829","624.270774584234","425.066171319243"
"27","MO_98_E126b.jpg","E126","640.867450327289","642.199049966597","641.533250146943","575.956673525014","572.562648876959","574.259661200987","423.541484259807","427.283862191167","425.412673225487","234.500133262222","228.288331940115","231.394232601168","451.376751481509","368.29508941744"
"28","MO_99_E127b.jpg","E127","542.667102170382","542.074718097054","542.370910133718","375.925524539103","362.012430725797","368.96897763245","255.093660795403","260.469352857491","257.781506826447","150.17535010114","145.344418537486","147.759884319313","307.101287670697","202.199653258852"
"29","MO_100_E128.jpg","E128","532.729717378334","531.886126493256","532.307921935795","482.127185386802","460.761471672708","471.444328529755","313.388339853288","316.445887949267","314.917113901278","181.404589247351","176.406136514578","178.905362880964","381.744142646616","232.698969583022"
"30","MO_101_E129.jpg","E129","615.7356119131","614.937163005294","615.336387459197","513.864533165113","507.946847613016","510.905690389064","358.398062060888","361.869469407133","360.13376573401","205.472379868925","199.210943474499","202.341661671712","396.868996017578","297.486134130652"
