"","","","Y_mid.distal","Y_distal.prox","Y_prox.petiolar"
"1","MO_31_E35.jpg","E35","34.3628424832074","56.7562819517664","8.9750331534047"
"2","MO_32_E39.jpg","E39","38.1763071730829","41.7217876105042","52.8113506397558"
"3","MO_33_E43.jpg","E43","32.0811541764879","54.2009134777051","49.0950560894764"
"4","MO_34_E41.jpg","E41","43.7084207534947","48.3874579369215","37.0483028521978"
"5","MO_35_E44.jpg","E44","27.6697815954596","39.7885589686312","39.2929816086439"
"6","MO_36_E45.jpg","E45","39.6251450100906","43.8311061285145","42.7294384490463"
"7","MO_37_E46.jpg","E46","25.1250152035132","57.5251332743312","61.0759204882311"
"8","MO_39_E48.jpg","E48","35.0291268601315","47.616243807487","45.4476631043874"
"9","MO_40_E49.jpg","E49","56.1167905250148","50.6509967338024","38.4587497335846"
"10","MO_41_E50.jpg","E50","55.7316639154007","61.4324871358046","47.1919986659256"
"11","MO_42_E52.jpg","E52","29.828947037337","58.357501304333","38.6931374975866"
"12","MO_71_E96.jpg","E96","28.3413152793877","58.0698763590689","48.1708310088717"
"13","MO_72_E97.jpg","E97","30.9644644966051","41.381055790629","25.7797021948144"
"14","MO_73_588271a.jpg","588271 (Riparia parent)","46.8724185776877","42.6579034832276","30.0652451741169"
"15","MO_75.jpg","E99","48.9299177556083","44.4680432841657","40.9624087796637"
"16","MO_76.jpg","E100","18.693386694292","36.3614451645116","47.8228537627414"
"17","MO_77.jpg","E101","34.1943484068912","45.4680801317804","54.1415602421796"
"18","MO_78.jpg","E102","30.2872237457311","40.7946217886004","49.9727565368434"
"19","MO_79.jpg","E103","48.2945768264135","49.5424520962845","38.5416401377324"
"20","MO_80.jpg","E105","33.9518852371832","44.0734400940496","16.1422878056305"
"21","MO_82.jpg","E108","20.7826668045914","54.5352202324259","47.5988783125219"
"22","MO_83.jpg","E109","42.0106712517801","47.1513055455104","59.169872675841"
"23","MO_85.jpg","E112","27.9643276365756","48.9238058955285","43.4878215337068"
"24","MO_86.jpg","E113","39.7268456640726","51.4881894413645","41.3897108838509"
"25","MO_98_E126b.jpg","E126","27.9668716252563","49.0325262301433","47.0361489417858"
"26","MO_99_E127b.jpg","E127","44.4967584017416","44.5331000574832","42.0865908545135"
"27","MO_100_E128.jpg","E128","24.1360081635642","41.6499786302","37.609409633976"
"28","MO_101_E129.jpg","E129","33.9648187020501","45.181814632732","40.6268817826732"
"29","MO_112.jpg","E144","48.5584110142413","56.6486279212279","36.5477311803563"
"30","MO_113.jpg","E145","43.2795929715159","51.6233127650932","42.9186840186467"
"31","MO_114.jpg","E146","38.6965525016972","37.5919842454577","57.7931379368134"
"32","MO_115.jpg","E147","17.4784354063442","47.1483981921909","46.5529746056862"
"33","MO_116.jpg","E148","26.0508013628304","50.0756750891824","40.3429573887665"
"34","MO_117_E149.jpg","E149","40.9627414563319","48.2573612551713","35.7655672736311"
"35","MO_118_E150.jpg","E150","50.4217782574445","55.302337201751","25.7759606996674"
"36","MO_120_E152.jpg","E152","37.331603807082","46.0967445432256","44.9801727271491"
"37","MO_121_E153.jpg","E153","46.3522302375509","53.8837784629684","35.4804081986103"
"38","MO_122_E155.jpg","E155","48.6277783205965","55.6745127382702","41.8264895772937"
"39","MO_123_E154.jpg","E154","25.8589825898228","50.6936408488635","48.8076531216349"
"40","MO_124_E156.jpg","E156","44.0826561629492","48.1108061028798","23.7149152594575"
"41","MO_126_E158.jpg","E158","42.9292218906049","51.2719871783204","43.8600005837227"
"42","MO_127_E161.jpg","E161","34.2755891494376","38.1837620897783","45.2262625769878"
"43","MO_128_E163.jpg","E163","20.4231106844982","48.1215984840606","23.1318537832674"
"44","MO_129_E162.jpg","E162","49.3622597660898","47.173235692587","29.0407187116433"
"45","MO_131_E164a.jpg","E164","64.4418960233681","52.7330748614681","NaN"
"46","MO_132_E165.jpg","E165","26.1710916470639","46.4025519632345","32.1206888620178"
"47","MO_133_E166.jpg","E166","NaN","46.416341633608","42.0032079784145"
"48","MO_135_E170.jpg","E170","40.7802587383362","40.9732926365268","33.2000773860372"
"49","MO_137_E173.jpg","E173","28.9211440126417","45.2277356303352","23.0951957175547"
"50","MO_138_E174.jpg","E174","31.2617145105295","45.5429467489161","48.4164026995264"
"51","MO_139_E175.jpg","E175","35.9263670475804","41.826404424605","40.3852958940553"
"52","MO_140_E176.jpg","E176","31.3238295097285","40.3084693590691","26.359288355884"
"53","MO_141_E177.jpg","E177","32.327823039084","42.8086097309546","44.5838499599919"
"54","MO_143_E180.jpg","E180","48.4104544535391","49.8487029651169","36.9241593004738"
"55","MO_145_E182.jpg","E182","26.0950494085921","52.5515066212903","34.7954227924739"
"56","MO_147_E184.jpg","E184","52.9762191836145","56.0390712038142","NaN"
"57","MO_149_E186.jpg","E186","23.2148014688344","49.1981680144244","41.5602305719078"
"58","MO_150_E187.jpg","E187","31.5871888557935","37.9291524473203","42.6704873308526"
"59","MO_152_E189.jpg","E189","20.7674119965899","54.1644646523565","49.0943473198982"
"60","MO_153_E190a.jpg","E190","49.6513677511397","43.7994007161903","39.5586103535085"
"61","MO_155_E193.jpg","E193","28.6591586998866","56.5664599820144","40.8819819129173"
"62","MO_156_E194.jpg","E194","41.2455016913624","53.5100121157456","37.3832474976346"
"63","MO_157_E195.jpg","E195","44.7810210223149","60.2571148465185","27.5033923550924"
"64","MO_158_E197.jpg","E197","29.3108034467967","57.9182671623438","63.9900997333635"
"65","MO_159_E199.jpg","E199","38.3588215925075","43.6152038506593","49.1961659976157"
