"","","","X_mid.distal","X_distal.prox","X_prox.petiolar"
"1","MO_30_E34.jpg","E34","45.5918106380475","47.4160899118039","34.5053878291563"
"2","MO_31_E35.jpg","E35","42.1638216429075","42.2274452630426","34.6190325110874"
"3","MO_32_E39.jpg","E39","39.9083009625031","42.3793719321437","50.7368010674523"
"4","MO_33_E43.jpg","E43","37.4742201707935","39.8726227521286","34.499364727636"
"5","MO_35_E44.jpg","E44","28.592534605412","33.3865718183281","45.4255396687686"
"6","MO_36_E45.jpg","E45","35.8573761242954","18.9163110179242","31.653091876421"
"7","MO_37_E46.jpg","E46","38.5730774662244","51.635674478251","45.2110605184182"
"8","MO_38_E47.jpg","E47","42.2208092319725","40.239766721942","33.6923008705572"
"9","MO_39_E48.jpg","E48","49.5311176402932","36.6588981503252","48.695674946743"
"10","MO_40_E49.jpg","E49","33.6309905018014","47.0721794938785","28.7672555642789"
"11","MO_41_E50.jpg","E50","48.5171022138672","49.3431670291192","30.403752932086"
"12","MO_42_E52.jpg","E52","36.9011935678938","43.2562821808741","30.8828260984637"
"13","MO_70_E95.jpg","E95","30.6372964011763","33.7979260199254","37.2004730704828"
"14","MO_71_E96.jpg","E96","39.4569165166215","48.2370424586971","41.4383467329382"
"15","MO_72_E97.jpg","E97","51.5180572835211","42.5218343843676","45.8117652872416"
"16","MO_73_588271a.jpg","588271 (Riparia parent)","59.859262510185","58.1328454716364","7.55713099171197"
"17","MO_74_E98.jpg","E98","45.1445212420314","46.0849137498531","26.5298377564631"
"18","MO_75.jpg","E99","55.1416222175326","42.5693946262503","36.1202554722103"
"19","MO_76.jpg","E100","22.3274741782336","38.8834375855574","24.2230679679184"
"20","MO_77.jpg","E101","46.8548489818056","44.4874732143031","39.8479530932733"
"21","MO_78.jpg","E102","43.4211636103904","45.3569803839033","39.3121754786101"
"22","MO_79.jpg","E103","48.9284886482741","38.0590968809164","62.3970693252749"
"23","MO_80.jpg","E105","43.4167240236445","31.1663681448325","23.824266366759"
"24","MO_82.jpg","E108","36.973975780035","44.2439442198482","45.0678740321836"
"25","MO_85.jpg","E112","51.6981742035646","51.175741237195","47.471680530892"
"26","MO_86.jpg","E113","19.8848653759133","50.4680807769988","43.6577249593439"
"27","MO_98_E126b.jpg","E126","38.6957041333353","46.2723165215373","39.4817814729251"
"28","MO_99_E127b.jpg","E127","31.653654406431","39.096256672455","25.6820856866754"
"29","MO_100_E128.jpg","E128","27.7596593384547","29.8549616534528","45.2692717636314"
"30","MO_101_E129.jpg","E129","36.0009725307623","34.8500726086544","37.590777000223"
"31","MO_112.jpg","E144","32.3438909962617","44.2285804818582","2.62606061499067"
