"","","","Y_midvein4","Y_midvein3","Y_midvein.ave","Y_distal.lobe3","Y_distal.lobe2","Y_distal.ave","Y_proximal.tip2","Y_proximal.tip1","Y_proximal.ave","Y_petiolar.vein6","Y_petiolar.vein5","Y_petiolar.ave","Y_distal.sinus","Y_proximal.sinus"
"1","MO_31_E35.jpg","E35","984.158650828209","981.514263778168","982.836457303189","1053.27666160843","1061.94011360764","1057.60838760803","862.073082748789","859.155690198232","860.61438647351","455.936947395141","445.21736264436","450.577155019751","955.982348163396","778.97962104281"
"2","MO_32_E39.jpg","E39","1225.74500764963","1230.5604421474","1228.15272489852","1020.40016660132","995.735532157008","1008.06784937916","772.601512280425","776.249371515366","774.425441897895","498.575906736376","494.811680114768","496.693793425572","923.939662532137","626.35229215594"
"3","MO_33_E43.jpg","E43","1229.94276163121","1230.35734885805","1230.15005524463","1190.53474908463","1181.48916405441","1186.01195656952","951.703341383227","955.684309801097","953.693825592163","487.209544698172","483.712724662066","485.461134680119","937.769294656207","781.259164355209"
"4","MO_34_E41.jpg","E41","984.260376571667","985.307649868304","984.784013219986","967.928686881942","967.045295158919","967.48699102043","746.481078125896","748.032419083558","747.256748604727","421.977367745001","415.577910866302","418.777639305652","826.687970155608","656.61328040179"
"5","MO_35_E44.jpg","E44","1537.57373806917","1539.18712312701","1538.38043059809","1300.4030144536","1284.9754861475","1292.68925030055","957.027005308105","964.066751262069","960.546878285087","520.440438474952","511.706947382972","516.073692928962","1158.32292561272","800.390529679106"
"6","MO_36_E45.jpg","E45","1183.54013451171","1184.57165253943","1184.05589352557","956.887663208174","947.971518559498","952.429590883836","721.255849196386","719.813864828957","720.534857012672","438.463225367875","433.222015702111","435.842620534993","806.535802057168","625.056913319899"
"7","MO_37_E46.jpg","E46","1270.47097566218","1266.95895750415","1268.71496658316","1139.00043898148","1132.86031795628","1135.93037846888","863.937787112012","874.563033748855","869.250410430433","452.545025384215","446.65870639673","449.601865890472","946.070821873289","745.435778588605"
"8","MO_39_E48.jpg","E48","1127.32016427366","1126.3880378351","1126.85410105438","872.74996419364","857.758853058364","865.254408626002","602.046306266387","608.181790987695","605.114048627041","316.249233640178","309.559254066164","312.904243853171","764.891168729251","537.340468211729"
"9","MO_40_E49.jpg","E49","1176.82846064242","1188.16863655333","1182.49854859787","1235.53723150903","1218.68986411187","1227.11354781045","994.117446225042","1003.04586136427","998.581653794659","570.865351900078","559.46626350478","565.165807702429","1055.04853147995","892.535569537147"
"10","MO_41_E50.jpg","E50","871.286405265226","877.467728054998","874.377066660112","787.562250097096","770.680726227145","779.12148816212","675.363162882016","687.196404886551","681.279783884283","434.421588884577","425.694082515837","430.057835700207","685.686816103387","598.85056047231"
