"","Spec_int","B11","Na23","Mg26","Al27","P31","S34","K39","Ca44","Fe54","Mn55","Co59","Ni60","Cu63","Zn66","As75","Rb85","Sr88","Mo98"
"393","riprup","-0.90701044","-0.5979727","0.4469502","-0.37328786","-0.526801","-0.8609689","-0.26934004","0.37620416","-0.90712047","-0.8511938","-1.097977","-0.19560026","-0.59138906","-0.8906119","-0.49687886","1.4961847","-0.24262604","-0.32410806"
"394","riprup","-0.8681301","-0.6910645","0.17296202","-0.44288093","-0.9814644","-0.49051785","-0.9940362","1.5435538","-0.78291786","-0.8457007","-1.0105488","-0.4437498","-0.7002106","-0.9368703","-0.37488297","-0.59413695","0.6250858","0.05765531"
"395","riprup","-0.92844504","-0.5685102","-0.10855016","-0.38351804","-0.8123847","0.31710437","-0.07606404","-0.8934752","-0.5957534","-0.91068316","-0.9532207","-0.32609206","-0.6909709","-0.924009","-0.40148717","1.6580784","-1.1580001","-0.26486677"
"396","riprup","-1.0020766","-0.3923039","-0.57617974","-0.52385604","-0.17973535","0.10483125","0.5628874","-0.61283004","-1.1474549","-0.94337595","-0.95035386","-0.62003314","-0.6379399","-0.4809951","-0.6241874","2.0345285","-1.2048062","-0.035059545"
"397","riprup","-0.58450186","-0.6724447","0.91709465","-0.31858978","-0.93791336","-1.2622924","-1.2091722","2.504232","-0.8258476","-0.74180996","-0.88872814","-0.20456704","-0.6955288","-0.96602774","-0.48230013","-0.48589998","1.4960445","-0.41472542"
"398","riprup","-0.8479597","-0.6903078","0.8665998","-0.40779024","-0.8777008","-0.9268073","-1.0696135","1.6509469","-0.7911671","-0.83462805","-1.3158268","-0.31715116","-0.7003399","-0.9747105","-0.54924834","-0.12935242","0.71972775","-0.164388"
"399","riprup","-0.8036245","-0.5435151","0.8053006","-0.20448706","-0.9268853","-1.1009029","-0.6079444","0.87188745","-0.6151184","-0.72914743","-0.20061047","0.17718802","-0.65250385","-0.8798226","0.20737806","1.5185194","-0.06624552","-0.5683074"
"400","riprup","-0.9142351","-0.60053366","-0.21182217","-0.35028517","-0.82176155","-0.64683425","-0.73120254","-0.2715816","-0.91903746","-0.8656765","0.18698119","-0.28478193","-0.68861896","-0.92393905","-0.38677463","1.637233","-0.98583573","-0.3832013"
"401","riprup","-0.97765005","-0.59973586","-0.3961534","-0.43529117","-0.6686418","-0.6784434","-0.50693166","0.027740411","-1.0209268","-0.9281828","-1.3407451","-0.46697503","-0.6167185","-0.8922636","-0.37764028","0.343821","-0.83841425","-0.002807429"
"402","riprup","-0.8721008","-0.72469455","0.79329777","-0.3940845","-0.4437901","-0.5470512","-0.07865172","0.40356532","-0.93184996","-0.87868035","-1.1034627","-0.38423973","-0.6390838","-0.864991","-0.44598845","1.0477895","0.36388138","-0.17119865"
"403","riprup","-0.7748333","-0.6228225","0.25774658","-0.2948099","-0.91583025","-0.89095753","-0.8173684","1.2084764","-0.5993846","-0.7882798","0.3204124","-0.0704922","-0.68124825","-0.39934194","-0.40007737","0.0976083","0.15858223","-0.38377658"
"404","riprup","-0.5656574","-0.5828433","0.52822936","-0.35248995","-0.5626129","-0.4245489","-1.0137734","1.9206706","-0.44636056","-0.85184413","0.5167417","-0.13132793","-0.63011634","0.14707479","-0.14285102","-0.4499708","0.5645223","-0.10411855"
"405","riprup","-0.79650617","-0.57008165","1.824727","0.058991663","0.28385466","0.21367568","-0.043326564","0.88727355","-0.37084273","-0.68304336","0.31941435","-5.7539426e-05","-0.6302779","-0.43518624","-0.13872632","-0.027338292","1.0469667","-0.15484118"
"406","riprup","-0.6677357","-0.70691705","1.0931226","-0.40081415","-0.7462321","-0.5718143","-0.92715734","1.7570008","-0.77971876","-0.85671294","-0.19384395","-0.08969616","-0.62759954","-0.7376551","-0.4286543","-0.29109785","1.1050326","-0.04593826"
"407","riprup","-0.8448154","-0.62881535","0.28528506","-0.40470257","-1.0358806","-1.3185555","-1.0688945","0.30382177","-0.33357865","-0.88645744","-1.0883771","-0.38224056","-0.71972096","-0.96773857","-0.29230905","0.33180487","-0.47873324","-0.542672"
"408","riprup","-0.91074854","-0.58136046","-0.19496854","-0.2138159","-0.7087858","-0.68903095","-0.42122135","0.6252923","-0.855092","-0.8756576","-1.0903443","-0.4334101","-0.6871002","-0.8657478","-0.3962435","0.4799627","0.10193027","-0.2698704"
"409","riprup","-0.5846248","-0.72708213","0.83039","-0.41118768","-0.87675464","-0.63438976","-0.7886976","1.2342023","-0.792309","-0.79592156","-0.5391099","-0.34204096","-0.6595383","-0.8967664","-0.3595665","1.1932964","0.6843966","-0.4795586"
"410","riprup","-0.7951833","-0.576217","1.6513216","-0.14290427","-0.279464","-1.1357607","-0.7903652","1.6373261","-0.407439","-0.60949683","-0.51596457","-0.20115216","-0.63852304","-0.7153594","-0.44542065","0.08556823","1.1247768","-0.24233733"
"411","riprup","-0.9344311","-0.6225551","-0.6872939","-0.4129738","-0.7652468","-0.88993","-0.53986543","0.0010557959","-0.9174377","-0.92275244","-0.6553682","1.3339562","-0.6487143","-0.7524859","-0.60148525","0.9191778","-0.6703927","-0.4165816"
"412","riprup","-0.91159195","-0.67200816","-0.2513078","-0.35750237","-0.43481836","-0.4271407","-0.38113266","0.39832914","-0.7159421","-0.88669586","-0.66513795","-0.27409327","-0.6067256","-0.7085315","-0.6389671","1.0199208","-0.29370123","-0.040374372"
"413","riprup","-0.9786556","-0.6703628","-1.0934644","-0.37808418","-0.30990368","-0.76271474","-0.2173855","-0.63002723","-0.7573236","-0.9201154","-1.133336","-0.27609935","-0.5799931","-0.8470792","-0.64893687","1.9413526","-1.462485","-0.109249175"
"414","riprup","-0.84584916","-0.7054705","2.046067","-0.20651737","-0.6422953","-1.3402262","-1.2250285","2.0303354","-0.5707092","-0.4710618","-0.17172827","-0.040088974","-0.6844094","-0.77195096","-0.34242415","-0.27180126","1.0215003","-0.41291398"
"415","riprup","-0.5770144","-0.7395384","1.6934958","-0.33591652","-0.87072897","-1.0816602","-0.905013","1.6765605","-0.4858547","-0.71600425","-0.21918496","-0.2651175","-0.7203571","-0.685964","-0.15021342","0.9357504","1.1229467","-0.56876606"
"416","riprup","-0.86040324","-0.7178797","-0.08636191","-0.4928724","-0.64903903","-0.65050066","-0.40556914","0.5140949","-0.86529243","-0.87921625","-0.8188412","-0.32603607","-0.6391492","-0.6798174","-0.6446047","0.29351926","-0.5845976","-0.33352"
"417","riprup","-1.0427159","-0.6092043","0.98920876","0.25638703","-1.3007722","-1.3343655","-1.4880522","0.57728297","-0.24086083","-0.8408431","-0.048341513","-0.15733053","-0.748673","-0.914672","-0.11688731","-0.69302225","-0.0858777","-0.48239943"
"418","riprup","-0.7989712","-0.5537912","1.3442271","-0.034019385","-0.3481808","-0.63628536","-0.8638669","1.4822397","-0.28613478","-0.6732866","-0.266803","-0.09205848","-0.6272473","-0.80867416","0.2226269","0.83690774","0.9459035","-0.43737638"
