Label,,,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63
MO-311.jpg,MO_311,E16,NA,NA,8693.5,5332.5,8734.5,5294.5,8777.5,5296.5,8542.5,5423.5,8575.5,5415.5,8548.5,5400.5,8446.5,5183.5,8470.5,5205.5,8483.5,5175.5,8689.5,4933.5,8693.5,4967.5,8726.5,4950.5,8246.5,5787.5,7841.5,5436.5,7931.5,5367.5,7730.5,5136.5,7763.5,4470.5,7946.5,4521.5,8030.5,4248.5,8465.5,3576.5,8768.5,12609.5,8714.5,12540.5,8798.5,12516.5,8894.5,12504.5,8099.5,12714.5,8144.5,12714.5,8129.5,12666.5,7805.5,11721.5,7862.5,11790.5,7904.5,11727.5,8801.5,11262.5,8801.5,11310.5,8870.5,11307.5,6786.5,13715.5,5602.5,11747.5,6002.5,11675.5,5882.5,10883.5,6834.5,9081.5,7394.5,9545.5,NA,NA,NA,NA,9106.5,17562.5,9055.5,17517.5,9115.5,17499.5,9172.5,17526.5,8647.5,17673.5,8680.5,17661.5,8659.5,17634.5,8548.5,17082.5,8575.5,17109.5,8590.5,17082.5,9154.5,16584.5,9154.5,16638.5,9196.5,16623.5,8233.5,18240.5,7651.5,17496.5,7807.5,17388.5,7471.5,16752.5,7939.5,15726.5,8239.5,15816.5,8599.5,15360.5,9565.5,14946.5
MO-312.jpg,MO_312,E17,9047,4051,8996.5,4016.5,9058.5,4014.5,9100.5,4020.5,8844.5,4018.5,8878.5,4028.5,8872.5,4004.5,8828.5,3756.5,8850.5,3784.5,8874.5,3774.5,9102.5,3664.5,9102.5,3694.5,9140.5,3690.5,8434.5,4098.5,8290.5,3702.5,8400.5,3700.5,8306.5,3450.5,8586.5,2902.5,8660.5,3086.5,8734.5,2866.5,9200.5,2262.5,8561.5,11168.5,8474.5,11036.5,8621.5,11075.5,8726.5,11081.5,7736.5,10922.5,7796.5,10925.5,7763.5,10865.5,7580.5,9650.5,7625.5,9701.5,7667.5,9671.5,8921.5,9191.5,8909.5,9275.5,8984.5,9266.5,5624.5,12056.5,4712.5,9608.5,5248.5,9552.5,5096.5,8228.5,6688.5,5814.5,7112.5,6590.5,8024.5,5814.5,9824.5,4686.5,8999.5,17928.5,8955.5,17840.5,9023.5,17804.5,9095.5,17796.5,8443.5,17872.5,8483.5,17884.5,8475.5,17836.5,8307.5,16928.5,8339.5,16976.5,8379.5,16952.5,9067.5,16188.5,9067.5,16256.5,9127.5,16244.5,6521.5,18756.5,5769.5,16764.5,6281.5,16748.5,6169.5,15780.5,7233.5,13982.5,7697.5,14334.5,NA,NA,9097.5,12788.5
MO-313-E-16b.jpg,MO_313,E16,6685,6191,6634.5,6141.5,6677.167,6146.833,6727.833,6153.5,6455.833,6169.5,6487.833,6174.833,6481.167,6153.5,6426.5,5885.5,6443.833,5910.833,6461.167,5889.5,6705.167,5603.5,6706.5,5636.833,6741.167,5628.833,5983.5,6494.5,5635.5,5891.5,5770.5,5876.5,5659.5,5591.5,5854.5,4838.5,6007.5,4991.5,6118.5,4748.5,6808.5,3917.5,7864.5,12134.5,7750.5,11984.5,7903.5,12056.5,8011.5,12014.5,7219.5,11954.5,7261.5,11954.5,7246.5,11918.5,7126.5,11030.5,7156.5,11078.5,7189.5,11048.5,8221.5,10534.5,8209.5,10590.5,8269.5,10590.5,6147.5,13182.5,4947.5,11302.5,5307.5,11158.5,NA,NA,5787.5,8504.5,6531.5,8776.5,7155.5,8020.5,9419.5,7136.5,7712.5,18082.5,7490.5,17932.5,7733.5,18001.5,7832.5,17998.5,7001.5,18025.5,7061.5,18037.5,7046.5,17986.5,6899.5,17131.5,6929.5,17173.5,6953.5,17152.5,7985.5,16504.5,7970.5,16549.5,8039.5,16549.5,5971.5,19094.5,4899.5,17230.5,5179.5,17246.5,5099.5,16318.5,NA,NA,NA,NA,7115.5,14570.5,8571.5,13280.5
MO-314-E-17.jpg,MO_314,E17,6312,4649,6247.5,4600.5,6313.5,4590.5,6369.5,4582.5,5971.5,4562.5,6013.5,4574.5,6003.5,4546.5,5941.5,4218.5,5965.5,4246.5,5991.5,4228.5,6285.5,4018.5,6283.5,4068.5,6329.5,4052.5,5355.5,4768.5,5079.5,4104.5,5295.5,4172.5,5191.5,3664.5,5283.5,3108.5,5595.5,3328.5,5799.5,2956.5,NA,NA,7063.5,11648.5,6923.5,11520.5,7095.5,11560.5,7191.5,11564.5,6315.5,11544.5,6367.5,11556.5,6351.5,11504.5,6171.5,10588.5,6203.5,10644.5,6235.5,10612.5,7227.5,10128.5,7195.5,10220.5,7259.5,10216.5,4739.5,12878.5,3707.5,10278.5,4115.5,10374.5,3963.5,9358.5,NA,NA,5779.5,8252.5,6619.5,7396.5,NA,NA,7052.5,17198.5,6974.5,17144.5,7060.5,17144.5,7132.5,17128.5,6612.5,17178.5,6652.5,17180.5,6634.5,17148.5,6366.5,16570.5,6392.5,16600.5,6412.5,16578.5,6996.5,16248.5,7016.5,16298.5,7050.5,16278.5,5806.5,17742.5,5210.5,16790.5,5510.5,16714.5,5294.5,16174.5,5734.5,15268.5,6134.5,15524.5,,NA,,NA
MO-315.jpg,MO_315,E19,9695,5090,9656.5,5030.167,9708.5,5018.167,9760.5,5027.5,9385.833,5042.167,9425.833,5047.5,9412.5,5014.167,9400.5,4683.5,9428.5,4730.167,9456.5,4699.5,9795.167,4359.5,9792.5,4403.5,9831.167,4386.167,NA,NA,NA,NA,NA,NA,7989.5,4076.5,8799.5,3014.5,8955.5,3302.5,9213.5,3146.5,9615.5,2534.5,9269.5,11362.5,8977.5,11110.5,9353.5,11242.5,9457.5,11258.5,8685.5,11190.5,8769.5,11182.5,8729.5,11138.5,8405.5,10382.5,8433.5,10422.5,8485.5,10386.5,9513.5,9646.5,9501.5,9702.5,9573.5,9706.5,6665.5,12734.5,5537.5,10346.5,5921.5,10274.5,5741.5,9098.5,6833.5,7136.5,7301.5,7448.5,NA,NA,NA,NA,9791.5,19091.5,9713.5,18959.5,9851.5,18983.5,9923.5,19019.5,9077.5,19091.5,9131.5,19097.5,9119.5,19037.5,9041.5,18215.5,9089.5,18269.5,9125.5,18245.5,9881.5,17555.5,9881.5,17615.5,9935.5,17609.5,7337.5,19589.5,7175.5,18107.5,NA,NA,NA,NA,7955.5,15983.5,8375.5,16439.5,8717.5,15557.5,10097.5,14519.5
MO-316.jpg,MO_316,E20,9112,4611,9047.5,4537.167,9127.5,4562.5,9184.833,4562.5,8754.167,4459.833,8783.5,4477.167,8788.833,4446.5,8764.833,4054.5,8783.5,4082.5,8803.5,4061.167,9203.5,3951.167,9200.833,3989.833,9243.5,3979.167,7842.5,4464.5,7812.5,3594.5,7968.5,3651.5,7908.5,3261.5,8394.5,2727.5,8547.5,2928.5,8685.5,2643.5,9348.5,1980.5,8217.5,11421.5,8103.5,11181.5,8280.5,11316.5,8394.5,11316.5,7521.5,10827.5,7578.5,10860.5,7581.5,10809.5,7689.5,10008.5,7716.5,10071.5,7755.5,10041.5,8913.5,9210.5,8892.5,9285.5,8958.5,9285.5,5418.5,11353.5,5234.5,8785.5,5786.5,9009.5,NA,NA,6498.5,6687.5,7082.5,7023.5,7634.5,6311.5,NA,NA,8875.5,16755.5,8809.5,16623.5,8935.5,16665.5,9013.5,16662.5,8164.5,16635.5,8212.5,16635.5,8209.5,16599.5,8122.5,15696.5,8137.5,15750.5,8185.5,15735.5,NA,NA,NA,NA,NA,NA,6718.5,17470.5,5918.5,15334.5,6278.5,15286.5,6478.5,14006.5,8502.5,12768.5,8662.5,13328.5,NA,NA,NA,NA
MO-317-E-22.jpg,MO_317,E22,6755,5194,6696.5,5145.5,6762.5,5133.5,6820.5,5137.5,6312.5,5197.5,6356.5,5195.5,6338.5,5167.5,6316.5,4733.5,6340.5,4765.5,6364.5,4733.5,6828.5,4463.5,6820.5,4503.5,6858.5,4493.5,5531.5,5579.5,5155.5,4719.5,5343.5,4675.5,5227.5,4259.5,5551.5,3197.5,5927.5,3461.5,6083.5,3185.5,7135.5,2313.5,7625.5,11286.5,7160.5,11037.5,7619.5,11205.5,7691.5,11208.5,6821.5,11274.5,6857.5,11262.5,6836.5,11241.5,6434.5,10497.5,6467.5,10527.5,6485.5,10494.5,7532.5,10095.5,7532.5,10149.5,7592.5,10146.5,5986.5,12288.5,5080.5,11190.5,5374.5,10980.5,5050.5,10284.5,5302.5,8946.5,5752.5,9108.5,6028.5,8436.5,7282.5,7332.5,7272.5,18132.5,7156.5,17956.5,7328.5,18064.5,7416.5,18064.5,6324.5,17704.5,6384.5,17732.5,6388.5,17680.5,6528.5,16560.5,6536.5,16628.5,6596.5,16600.5,7864.5,16532.5,7824.5,16608.5,7892.5,16604.5,4494.5,18432.5,3766.5,15904.5,4422.5,15936.5,4630.5,14558.5,6534.5,13098.5,7046.5,14090.5,7502.5,13610.5,9430.5,12810.5
MO-319-E-25.jpg,MO_319,E25,6686,5179,6650.833,5134.5,6693.5,5122.5,6738.833,5123.833,6454.833,5159.833,6484.167,5159.833,6472.167,5137.167,6432.167,4897.167,6445.5,4922.5,6461.5,4906.5,6741.5,4649.167,6734.833,4690.5,6770.833,4685.167,5912.5,5479.5,5591.5,4816.5,5687.5,4789.5,5624.5,4453.5,6098.5,3763.5,6257.5,3952.5,6434.5,3778.5,7232.5,3679.5,7742.5,11467.5,7673.5,11410.5,7736.5,11350.5,7820.5,11323.5,7004.5,11713.5,7046.5,11707.5,7028.5,11671.5,6614.5,10864.5,6656.5,10894.5,6662.5,10852.5,7355.5,9940.5,7382.5,9976.5,7427.5,9961.5,5801.5,13073.5,4505.5,11351.5,4769.5,11285.5,4409.5,10415.5,4835.5,8639.5,5357.5,8843.5,5519.5,8297.5,NA,NA,7529.5,17906.5,7505.5,17836.5,7587.5,17822.5,7651.5,17858.5,6975.5,17740.5,7017.5,17762.5,7027.5,17722.5,7189.5,16888.5,7195.5,16930.5,7229.5,16914.5,7971.5,16848.5,7929.5,16892.5,7981.5,16894.5,5359.5,17809.5,5833.5,15925.5,6079.5,16093.5,6499.5,15535.5,NA,NA,NA,NA,NA,NA,NA,NA
MO-326.jpg,MO_326,E32,9236,4641,9193.5,4610.5,9218.5,4571.5,9270.5,4571.5,9018.5,4656.5,9044.5,4657.5,9031.5,4632.5,8887.5,4415.5,8909.5,4433.5,8924.5,4400.5,9124.5,4197.5,9136.5,4236.5,9168.5,4211.5,8562.5,5053.5,8232.5,4531.5,8313.5,4498.5,8157.5,4270.5,8367.5,3583.5,8523.5,3718.5,8586.5,3514.5,9051.5,3169.5,9453.5,12460.5,9345.5,12334.5,9462.5,12388.5,9534.5,12409.5,8709.5,12211.5,8769.5,12223.5,8754.5,12184.5,8709.5,11482.5,8739.5,11512.5,8760.5,11485.5,9507.5,10951.5,9516.5,11008.5,9573.5,10987.5,7193.5,13446.5,6413.5,11310.5,6797.5,11280.5,6773.5,10506.5,7979.5,9060.5,8123.5,9276.5,NA,NA,NA,NA,9339.5,17296.168,9206.167,17230.832,9344.833,17258.832,9386.167,17260.168,8918.167,17269.5,8948.833,17272.168,8939.5,17252.168,8852.833,16824.168,8870.167,16852.168,8891.5,16834.832,9434.167,16632.832,9427.5,16667.5,9460.833,16663.5,8251.5,17755.5,7851.5,16827.5,8011.5,16791.5,7967.5,16367.5,8311.5,15711.5,NA,NA,8931.5,15599.5,9615.5,15151.5
MO-328.jpg,MO_328,E37,8993.5,3567.5,8962.333,3546,8977,3515.333,9021,3507.333,8837,3626,8867.667,3614,8843.667,3591.333,8649,3399.333,8678.333,3420.667,8681,3383.333,8831.667,3167.333,8850.333,3200.667,8873,3174,8545,3938,8165,3618,8257,3562,8133,3430,7989,3030,8141,3038,8125,2838,8097,2336,9599,10575,9560,10515,9620,10470,9704,10461,9140,10641,9179,10641,9164,10614,8966,9972,8993,10002,9017,9984,9650,9372,9650,9432,9695,9414,7765,11660,6757,9948,7093,9852,6909,9012,8029,7286,8381,7702,8853,7350,9661,6322,10001,16318,9921,16262,10029,16234,10129,16206,9417,16466,9477,16470,9453,16406,9485,15442,9501,15510,9533,15482,9645,15036,9681,15080,9713,15064,7522.5,16822.5,7618.5,14510.5,7850.5,14526.5,8642.5,13882.5,9162.5,13318.5,9362.5,13286.5,9466.5,13182.5,8026.5,12896.5
