Label,,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63
MO_476_E_219.jpg,E219,5597,5587.833,5667.833,5745.167,5073.5,5118.5,5107.5,5188.5,5202.5,5230.5,5744.833,5732.833,5783.5,4186.5,3461.5,3746.5,3756.5,4708.5,4748.5,5091.5,6424.5,6001.5,6003.5,5931.5,5839.5,6496.5,6453.833,6476.5,6710.5,6690.5,6665.5,5875.5,5881.5,5820.5,7515.5,8602.5,8322.5,8554.5,7970.5,7330.5,6908.5,5506.5,6375.5,6369.5,6259.5,6169.5,6909.5,6865.5,6891.5,7073.833,7053.833,7035.167,6303.5,6307.5,6244.833,7891.5,9211.5,8848.5,9162.5,8506.5,7946.5,7536.5,6228.5,4463,4408.5,4411.167,4412.5,4493.5,4489.5,4462.5,3959.5,3996.5,3964.5,3635.833,3677.833,3662.5,5047.5,3892.5,3778.5,3025.5,1801.5,2153.5,1910.5,1099.5,11301.5,11233.5,11221.5,11223.5,11525.5,11521.5,11474.833,10643.5,10679.5,10633.5,10236.5,10261.5,10262.5,12634.5,10989.5,10773.5,10085.5,8261.5,8509.5,8147.5,7609.5,17751.5,17701.5,17691.5,17679.5,17906.5,17898.5,17866.5,17127.168,17160.5,17107.168,16577.5,16613.5,16605.5,19084.5,17604.5,17386.5,16464.5,14832.5,15120.5,14591.5,13103.5
MO_504_E_324.jpg,E324,7344,7365.5,7321.5,7271.5,7575.167,7540.5,7560.5,7645.833,7633.833,7612.5,7352.5,7353.5,7304.5,8049.5,8607.5,8454.5,8604.5,8256.5,8016.5,7887.5,7200.5,7530.5,7486.5,7566.5,7666.5,7027.5,7095.5,7043.5,6112.5,6154.5,6184.5,7126.5,7144.5,7222.5,6377.5,NA,NA,3747.5,3975.5,NA,5367.5,5487.5,7597.5,7589.5,7729.5,7833.5,6837.167,6881.167,6859.833,6597.167,6619.833,6651.833,7599.5,7614.5,7668.5,6632.5,4285.5,4690.5,4342.5,4996.5,6064.5,6435.5,7555.5,5030,4991.5,4969.5,4969.5,5060.833,5058.167,5038.167,4738.167,4763.5,4734.167,4405.5,4429.5,4423.5,5505.5,4869.5,4803.5,4428.5,3672.5,3801.5,3561.5,2886.5,12011.5,11939.5,11859.5,11843.5,12335.5,12319.5,12275.5,11077.5,11116.5,11065.5,9981.5,10023.5,9963.5,13813.5,NA,NA,10825.5,8629.5,NA,8413.5,6277.5,18797.5,18749.5,18733.5,18709.5,18997.832,19005.832,18952.5,17988.832,18023.5,17982.168,17072.5,17135.5,17111.5,20045.5,18459.5,18479.5,17387.5,15245.5,15887.5,14943.5,13743.5
MO_505_E_326.jpg,E326,6912,6908.5,6965.5,7005.5,6684.5,6714.5,6704.5,6613.5,6617.5,6651.5,6920.833,6918.167,6960.833,6056.5,5748.5,5904.5,5800.5,6128.5,6344.5,6480.5,7128.5,6727.5,6739.5,7108.5,7195.5,6174.5,6204.5,6216.5,6019.5,6032.5,6070.5,7261.5,7249.5,7317.5,4178.5,3710.5,4076.5,3980.5,4976.5,5690.5,6438.5,8289.5,7909.5,7909.5,7733.5,7653.5,8721.5,8665.5,8697.5,9068.5,9038.5,9014.5,8109.5,8101.5,8045.5,9697.5,11105.5,10863.5,11199.5,10767.5,10159.5,10079.5,10031.5,4129,4100.5,4097.5,4094.5,4118.5,4127.5,4101.5,3776.5,3793.5,3772.5,3555.833,3595.833,3574.5,4387.5,3703.5,3683.5,3363.5,2715.5,2855.5,2587.5,2069.5,10431.5,10365.5,10608.5,10620.5,10372.5,10396.5,10344.5,9291.5,9322.5,9291.5,8898.5,8946.5,8938.5,11031.5,9087.5,8991.5,8085.5,6105.5,6771.5,6125.5,5468.5,17273.5,17205.5,17213.5,17221.5,17529.5,17529.5,17461.5,16505.5,16517.5,16481.5,15787.5,15819.5,15775.5,18655.5,17311.5,17064.5,16173.5,14725.5,14845.5,14605.5,13183.5
MO_506_E_322.jpg,E322,7428,7425.5,7483.5,7542.5,7221.5,7253.5,7243.5,7144.167,7152.833,7168.167,7482.5,7478.5,7510.5,6531.5,6195.5,6318.5,6279.5,6489.5,6753.5,6930.5,7607.5,7585.5,7537.5,7666.5,7759.5,7015.5,7048.5,7021.5,6397.5,6429.5,6461.5,7461.5,7461.5,7527.5,5848.5,4050.5,NA,3990.5,4170.5,4986.5,6378.5,8022.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5789,5756.5,5757.5,5757.5,5814.5,5816.5,5797.5,5476.167,5494.833,5470.167,5300.5,5321.833,5315.833,6225.5,5433.5,5427.5,5088.5,4392.5,4593.5,4328.5,3839.5,13465.5,13411.5,13384.5,13384.5,13786.5,13786.5,13714.5,12782.833,12817.5,12766.833,11974.5,12019.5,12001.5,15456.5,13318.5,NA,12370.5,10126.5,10342.5,9598.5,8758.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO_508_E_327.jpg,E327,6616,6608.833,6686.167,6730.167,6310.167,6351.5,6323.5,6207.5,6223.5,6238.5,6603.5,6604.5,6652.5,5878.5,5068.5,5230.5,5050.5,5326.5,5626.5,5890.5,6712.5,7488.5,7494.5,7596.5,7704.5,6921.5,7001.5,6961.5,6519.5,6559.5,6575.5,7539.5,7531.5,7611.5,5941.5,3557.5,4021.5,3371.5,3923.5,4871.5,5935.5,8095.5,7780.5,7741.5,7603.5,7513.5,8578.5,8550.5,8550.5,8621.5,8608.5,8565.5,7151.5,7151.5,7089.5,9939.5,10763.5,10267.5,10099.5,NA,8645.5,NA,6781.5,5245,5214.167,5206.167,5203.5,5359.833,5349.167,5321.167,4939.5,4959.5,4927.5,4642.5,4668.5,4657.5,5986.5,5194.5,5140.5,4660.5,3478.5,3688.5,3322.5,2548.5,11418.5,11316.5,11256.5,11220.5,11705.5,11681.5,11593.5,10737.5,10777.5,10693.5,9670.5,9724.5,9710.5,13794.5,11874.5,11538.5,10396.5,7264.5,7792.5,6878.5,5534.5,17983.5,17938.5,18007.5,18031.5,17884.5,17904.5,17854.5,16604.5,16640.5,16610.5,16601.5,16630.5,16616.5,18487.5,16239.5,16231.5,14955.5,NA,14977.5,NA,13185.5
MO_509_E_329.jpg,E329,6886,6862.5,6942.5,6980.5,6700.5,6717.5,6723.5,6660.5,6662.5,6690.5,6795.5,6806.5,6836.5,6190.5,5954.5,6067.5,5929.5,6073.5,6244.5,6279.5,6547.5,7117.5,7111.5,6811.5,6727.5,7788.5,7724.5,7756.5,8212.5,8180.5,8149.833,7002.5,7009.167,6935.833,9847.5,11059.5,10639.5,11047.5,10315.5,9631.5,8383.5,6207.5,7565.5,7559.5,7412.5,7331.5,7924.5,7880.5,7875.167,8704.5,8691.5,8664.5,7576.5,7582.5,7537.5,10033.5,10177.5,9841.5,9757.5,9493.5,8941.5,8353.5,7141.5,4685,4641.5,4658.5,4654.5,4699.5,4706.5,4666.5,4465.5,4491.5,4469.5,4169.5,4207.5,4178.5,4917.5,4490.5,4490.5,4286.5,3740.5,3866.5,3737.5,2916.5,12062.5,11984.5,11984.5,11975.5,12298.5,12286.5,12236.5,11162.167,11203.5,11126.167,10236.834,10294.166,10266.166,14111.5,11843.5,11639.5,10847.5,7583.5,8003.5,7229.5,5581.5,17728.5,17659.5,17689.5,17674.5,17708.168,17746.832,17668.168,16199.5,16228.5,16193.5,15881.5,15926.5,15907.5,18883.5,15571.5,15763.5,15751.5,13747.5,14275.5,13987.5,13315.5
MO_510_E_330.jpg,E330,7321,7303.833,7247.833,7206.5,7463.5,7440.833,7444.167,7439.5,7432.167,7414.167,7140.5,7149.833,7107.833,7972.5,8196.5,8076.5,8104.5,7696.5,7576.5,7420.5,6768.5,7613.5,7604.5,7685.5,7760.5,7048.833,7087.5,7074.167,6797.5,6816.833,6844.833,7611.5,7615.5,7681.5,5579.5,4427.5,4727.5,4427.5,5207.5,5807.5,6346.5,8199.5,7426.5,7436.5,7514.5,7608.5,7104.5,7135.5,7136.5,7111.5,7121.5,7156.5,7878.5,7866.5,7916.5,6050.5,5485.5,5605.5,5683.5,6517.5,6949.5,7633.5,8902.5,3887,3868.5,3908.5,3919.167,3826.167,3837.5,3812.833,3558.167,3582.833,3562.833,3518.5,3551.833,3549.167,3971.5,3327.5,3335.5,3027.5,2539.5,2671.5,2523.5,2112.5,10667.5,10619.5,10577.5,10574.5,10624.833,10635.5,10595.5,9806.5,9825.834,9794.5,9183.5,9216.5,9203.5,11918.5,10166.5,10034.5,9074.5,7274.5,7466.5,6900.5,5930.5,16583.5,16541.5,16527.5,16547.5,16520.5,16534.5,16493.5,15919.5,15954.5,15929.5,15359.5,15390.5,15383.5,17148.5,15906.5,15786.5,14736.5,13560.5,13824.5,13638.5,13572.5
MO_511_E_331.jpg,E331,7825,7819.833,7749.167,7678.5,8127.833,8086.5,8081.167,8062.5,8043.833,8018.5,7625.5,7633.5,7578.5,8898.5,9290.5,9074.5,9102.5,8625.5,8337.5,8116.5,7086.5,7539.5,7527.5,7317.5,7248.5,8187.5,8141.5,8151.5,8191.5,8185.5,8145.5,6947.167,6963.167,6895.167,9961.5,10731.5,10227.5,10187.5,8731.5,8235.5,7199.5,4879.5,7199.5,7184.5,7442.5,7538.5,6554.5,6584.5,6602.5,6652.167,6658.833,6725.5,7857.5,7843.5,7913.5,5199.5,4047.5,4455.5,4875.5,6531.5,6951.5,NA,NA,4488,4450.5,4497.167,4507.833,4475.833,4490.5,4445.167,4094.167,4132.833,4107.5,3911.5,3934.5,3934.5,4872.5,3884.5,3896.5,3468.5,2590.5,2788.5,2586.5,2135.5,10916.5,10862.5,10946.5,10949.5,10856.5,10864.5,10806.5,9852.5,9908.5,9864.5,9601.166,9635.834,9643.834,11990.5,9470.5,9406.5,8246.5,6386.5,7074.5,6726.5,6578.5,17192.5,17123.5,17312.5,17327.5,17033.5,17072.5,17000.5,15640.167,15692.167,15678.833,15467.5,15505.5,15499.5,18263.5,14543.5,14555.5,13187.5,11807.5,12635.5,NA,NA
MO_512_E_332.jpg,E332,6847,6832.5,6940.5,6990.5,6604.5,6642.5,6622.5,6448.5,6468.5,6492.5,6910.5,6912.5,6958.5,5922.5,5412.5,5496.5,5352.5,5598.5,5838.5,6090.5,NA,7269.5,7281.5,7470.5,7590.5,6522.5,6584.5,6556.5,6099.5,6110.5,6163.5,7759.167,7740.5,7823.167,4897.5,3233.5,3625.5,3497.5,NA,5641.5,7043.5,8327.5,7837.5,7833.5,7925.5,7998.833,7134.5,7174.5,7167.5,7177.5,7181.5,7224.5,7928.5,7925.5,7973.5,6156.5,5316.5,5520.5,5472.5,7116.5,6764.5,6804.5,7796.5,3762,3731.5,3753.5,3749.5,3805.5,3799.5,3761.5,3423.5,3447.5,3411.5,3237.5,3287.5,3259.5,4430.5,3674.5,3560.5,3110.5,2312.5,2324.5,1976.5,NA,11918.5,11834.5,11885.5,11888.5,11999.5,11999.5,11945.5,10731.5,10766.5,10726.5,10303.5,10334.167,10340.833,13695.5,10799.5,10607.5,9607.5,NA,7829.5,7831.5,6159.5,17810.832,17778.832,17824.168,17833.5,17798.5,17806.5,17771.5,16922.5,16962.5,16938.5,16472.5,16505.5,16493.5,18694.5,17434.5,17266.5,15958.5,17038.5,14846.5,14742.5,14094.5
MO-513_E_333.jpg,E333,6473,6474.167,6399.5,6359.5,6723.833,6695.833,6702.5,6806.5,6791.833,6770.5,6442.5,6443.833,6405.167,7452.5,7854.5,7698.5,7854.5,7374.5,7242.5,7176.5,6287.5,8037.5,8005.5,7885.5,7789.5,8781.5,8741.5,8729.5,8725.5,8725.5,8681.5,7504.5,7538.5,7448.5,11172.5,11651.5,11363.5,11519.5,9663.5,9183.5,8271.5,5407.5,7993.5,7957.5,7895.5,7867.5,8183.5,8181.5,8145.5,7769.5,7783.5,7737.5,7331.5,7376.5,7355.5,8855.5,8447.5,8201.5,7793.5,6713.5,6737.5,6377.5,6443.5,4770,4737.833,4749.833,4756.5,4720.5,4731.167,4707.167,4353.5,4376.167,4349.5,4219.833,4250.5,4227.833,5108.5,4304.5,4268.5,3884.5,2972.5,3236.5,2960.5,2171.5,11558.5,11486.5,11446.5,11430.5,11494.5,11510.5,11430.5,10410.5,10466.5,10410.5,9935.5,9991.5,9987.5,12667.5,10041.5,9825.5,8565.5,6135.5,7063.5,7287.5,5751.5,16862.5,16856.5,17000.5,17034.5,16542.5,16566.5,16547.5,16205.5,16243.5,16249.5,16602.5,16611.5,16656.5,16478.5,15386.5,15494.5,15146.5,15392.5,15728.5,16100.5,16568.5
