,Spec_int,Indv,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
118,9,127,0.007987344,19.45440132,7.907694754,2451.236395,3.177834048,1966.56033,1238.003081,7043.183456,13777.69757,22.03603077,28.43037046,0.131383267,0.47082301,7.884282342,12.87347841,0.003595664,0.186249827,10.51242333,10.66952631,0.086161909,0.003656149
119,9,128,0.00753542,18.03713268,7.656345172,2751.67076,3.478018793,2114.260993,1369.150942,6218.007088,17033.55858,26.75738783,22.85013116,0.060003027,0.428067056,7.9581008,11.44014252,0.004507212,,4.59883749,10.87059689,0.132835919,0.003465316
120,9,130,0.00162829,15.50797716,7.508379528,1907.716449,3.174243973,1950.255123,1484.342735,8794.73659,11063.9313,23.92759305,27.39590551,0.113560921,0.405907834,7.735152465,17.42865088,0.004547837,,7.84689954,7.880487289,0.114189324,0.003872484
121,9,131,0.006745225,17.7233193,9.80659306,2614.784608,3.038308928,2208.577198,1479.138113,7250.075056,14244.95266,24.57323818,28.70321774,0.117225068,0.480954977,8.564303477,9.925452986,0.002810384,0.081545029,10.16964826,9.544939328,0.099116819,0.004160388
122,9,132,0.007567259,15.88783012,7.3848038,2374.827161,2.486576171,2551.256984,1538.65912,8536.001949,13351.04569,20.10701805,24.55664638,0.105175221,0.416156772,9.135274636,14.74478788,0.004350112,0.02471405,8.078923764,8.65470714,0.12463023,0.004045821
123,9,133,0.008993189,14.35243171,8.553044788,1883.642386,4.416488544,2108.337054,1141.915773,7349.333741,11471.7966,24.58726249,22.25067486,0.106652898,0.325830726,9.319036493,10.99926807,0.00361546,0.091126163,6.450989512,6.340137588,0.126470286,0.002779639
124,9,134,0.007406911,18.30899467,10.20959825,2287.044967,3.527377217,2254.041345,1408.099833,7191.881271,15051.75379,24.24527854,29.72701648,0.141851216,0.373356626,9.035842568,21.30959204,0.004925396,0.119230782,7.5504021,10.71085415,0.100114399,0.006513861
125,9,135,0.008831065,19.25519245,13.2078818,3235.565906,3.165684856,2730.370812,1187.077114,7403.673518,22701.74521,23.96606112,35.06749753,0.099654296,0.53342846,9.443879807,24.68983834,0.003063352,0.014795912,6.193773687,16.21645857,0.144741143,0.013592775
126,9,136,0.007335424,16.69690686,18.12052864,1971.228535,2.589982148,2451.679339,1239.79232,8606.473239,9890.041252,20.90743503,21.38816609,0.13025484,0.403303934,10.44966249,17.58295208,0.002019084,0.013376388,11.13111303,6.26594607,0.115403609,0.033385966
127,9,137,0.006605991,18.34330881,18.84910992,1970.732016,2.891889254,2504.575547,1110.136497,7473.36503,9002.571015,19.6139293,23.68906718,0.15619488,0.365921893,9.606136677,12.10498876,0.002095508,0.213879316,14.2126743,5.388771371,0.150258408,0.009319417
128,9,138,0.009984817,12.67754819,13.61131304,2031.974763,6.765833759,2620.827522,1295.627241,10815.0065,10996.27501,25.37396889,35.41422416,0.10369312,0.385942924,8.386859597,17.93050207,0.004684342,0.103777546,6.210049543,10.00099887,0.232433806,0.003100282
129,9,139,0.01113574,13.25330885,16.49328131,1880.336495,4.846465776,2014.756904,979.4058303,7259.713009,13461.73197,32.34252757,33.11641523,0.105301884,0.484708222,7.731465026,17.64598202,0.003225326,0.023646339,6.09640663,6.682144311,0.179896323,0.005717223
130,9,140,0.007159249,14.25349596,11.58985836,1798.822751,4.201915805,1846.294905,840.6017231,6319.959931,14350.44797,21.35260047,26.68572669,0.072664722,0.371862097,7.466279219,15.83821352,0.004236943,0.079048898,3.729823849,9.142676193,0.161012043,0.00485476
131,9,141,0.012608855,16.54966945,12.64806465,2090.362421,4.551859241,2007.137251,1119.536207,7193.505912,15647.62972,31.43548841,44.27696439,0.122489454,0.444353872,8.097390845,14.43072409,0.017522175,0.129685049,8.149798308,9.822502161,0.117887416,0.003548325
132,9,143,0.007973775,18.46100861,12.37577015,2084.73494,2.428833319,2125.464821,1051.164694,7834.673888,10484.48136,20.15322765,22.46180894,0.082657638,0.309358809,7.516001202,10.96460051,0.004863312,0.14576706,8.374399488,6.588919019,0.145992408,0.391176413
