Taxa,PC1,PC2,PC3,PC4,PC5
160_271_309__vDNAfen551A01_G02,-0.0034746581,0.044998333,0.0012122816,0.018613387,0.0018672068
160_271_310__vDNAfen551A01_H02,5.1294494E-4,-0.039804026,0.015050843,0.056314643,0.01664062
160_271_311__vDNAfen551A01_A03,-0.0021752813,-0.026722223,-0.032771025,0.019374317,-0.04684714
160_271_312__vDNAfen551A01_B03,-0.0040858733,0.054647196,0.030669067,-0.04337754,-0.0057918997
160_271_313__vDNAfen551A01_C03,-0.0029002014,0.05998961,0.031823367,0.0050855805,-0.0069742138
160_271_314__vDNAfen551A01_D03,-0.0042303847,0.014867209,0.004429325,-0.008124518,-0.02840937
160_271_315__vDNAfen551A01_E03,-1.5783019E-4,-0.023861099,-0.03664867,-0.008086295,-0.04732126
160_271_316__vDNAfen551A01_F03,-0.0024682407,-0.040013995,0.030161649,-7.97993E-4,-0.027299685
160_271_317__vDNAfen551A01_G03,-0.002082256,0.04432541,0.009501142,-0.018025538,-0.038887426
160_271_318__vDNAfen551A01_H03,-0.0027440288,-0.026965892,0.06778437,-0.018823778,0.013431634
160_271_319__vDNAfen551A01_A04,0.0032774676,0.0057535563,-0.056896288,0.016200066,0.04062462
160_271_320__vDNAfen551A01_B04,0.008212322,-0.0023659451,0.020414436,0.053354524,-0.011502018
160_271_321__vDNAfen551A01_C04,0.005933517,-0.07630703,0.004020216,-0.02407854,-0.0040473146
160_271_322__vDNAfen551A01_D04,-0.0035009712,0.021534182,0.0011922511,0.020430693,0.01806917
160_271_323__vDNAfen551A01_E04,3.7060885E-4,-0.035455227,0.0056322142,0.025993975,9.6745143E-4
160_271_324__vDNAfen551A01_F04,0.0073456196,0.0010151773,0.053805023,0.014232735,-0.03468187
160_271_325__vDNAfen551A01_G04,0.0036927182,0.018975556,-0.022601336,0.037972007,-0.02865979
160_271_326__vDNAfen551A01_H04,-0.004337506,-0.031059176,0.023831226,-0.014148867,0.077188686
160_271_327__vDNAfen551A01_A05,0.0026865643,-0.011583091,0.013257489,0.0025631594,0.019674804
160_271_328__vDNAfen551A01_B05,0.001996233,0.0067347963,-0.03559846,0.05725434,0.030548528
160_271_329__vDNAfen551A01_C05,9.785999E-4,6.0555525E-4,-0.07009581,-0.0597918,0.03214383
160_271_330__vDNAfen551A01_D05,0.0049852612,0.024450142,0.035359815,0.047306657,-0.0262755
160_271_331__vDNAfen551A01_E05,0.0015256176,0.029195292,-0.030447032,0.034802575,-3.4714736E-5
160_271_332__vDNAfen551A01_F05,-0.0034263877,-1.4334262E-4,0.030781796,0.032853793,0.046301264
160_271_333__vDNAfen551A01_G05,2.7119648E-4,0.022565624,-0.007956538,0.05790291,-0.024918498
160_271_334__vDNAfen551A01_H05,0.0017879747,-0.028832112,0.010716205,-0.02809107,-0.012575866
160_271_335__vDNAfen551A01_A06,-0.001980446,-0.048381634,-0.030211946,-0.0075497627,0.054740228
160_271_336__vDNAfen551A01_B06,-0.13642539,-0.06857784,0.016645007,0.049257264,-0.023002274
160_271_337__vDNAfen551A01_C06,0.0059566833,-0.022636103,0.011803596,-0.0033737307,-0.0196481
160_271_338__vDNAfen551A01_D06,0.0063989875,-0.020438692,-0.04042093,0.044987556,0.035977084
160_271_339__vDNAfen551A01_E06,-0.0036001105,0.060215868,-0.008925349,0.022883246,-0.0070579164
160_271_340__vDNAfen551A01_F06,-0.0053587407,-0.049051028,0.03098509,4.1723606E-4,0.023005718
160_271_341__vDNAfen551A01_G06,-0.0023502873,-0.044285405,-0.045953315,0.01873506,0.012023915
160_271_342__vDNAfen551A01_H06,-0.002177559,0.01303677,0.054854393,-0.0032638917,-0.048277985
160_271_343__vDNAfen551A01_A07,0.0021137772,-0.019133313,0.008661227,0.008491982,0.008888553
160_271_344__vDNAfen551A01_B07,-0.006277744,0.034399807,0.04639417,0.024747241,-0.020973671
160_271_345__vDNAfen551A01_C07,-0.004449008,0.011232663,0.022366174,0.026453625,0.019185774
160_271_346__vDNAfen551A01_D07,0.006187488,0.051121846,-0.023969302,0.021850634,-0.05177332
160_271_347__vDNAfen551A01_E07,-0.0027701475,0.011975174,0.029608745,0.0033730734,0.03488927
160_271_348__vDNAfen551A01_F07,0.0023311975,-0.0056838943,-0.040590048,0.03360497,-0.041776747
160_271_349__vDNAfen551A01_G07,0.004816152,-0.048163682,0.008100587,-0.01688732,-0.014421181
160_271_350__vDNAfen551A01_H07,0.0074938927,-0.020516416,0.0339278,-0.024874855,-0.045677766
160_271_351__vDNAfen551A01_A08,-0.0037250686,0.006396951,0.020370293,-0.087431654,-0.036267444
160_271_352__vDNAfen551A01_B08,0.0024002003,0.06084484,-0.00595697,-0.010318942,-0.03487712
160_271_353__vDNAfen551A01_C08,0.003664629,-0.008845436,0.010554392,0.053257897,0.039593063
160_271_354__vDNAfen551A01_D08,2.9572903E-4,-0.07310287,0.030384768,0.005900531,-0.10063202
160_271_355__vDNAfen551A01_E08,0.0024117013,-0.014687794,0.01192164,-0.029935477,-0.026208157
160_271_356__vDNAfen551A01_F08,-0.005179066,-0.0045917886,0.02135413,0.036118276,0.03477396
160_271_357__vDNAfen551A01_G08,-0.0063074995,0.0688331,-0.0215768,-0.0011457844,8.568097E-4
160_271_358__vDNAfen551A01_H08,0.0041764686,0.008888951,-0.027730294,0.040196054,-0.03976005
160_271_359__vDNAfen551A01_A09,0.004721281,0.039760057,-0.020395787,0.02073607,-0.014829626
160_271_360__vDNAfen551A01_B09,0.0026856665,-0.020534016,0.014653964,-0.049465425,0.02138065
160_271_361__vDNAfen551A01_C09,-0.009369605,0.05656259,0.032584354,-0.010226167,-0.03998384
160_271_362__vDNAfen551A01_D09,0.0044466485,-0.075911015,0.035890535,0.03276562,-0.04996143
160_271_363__vDNAfen551A01_E09,-4.058541E-4,0.020992314,-0.032867543,0.024837142,-0.023883544
160_271_364__vDNAfen551A01_F09,-0.0095276,0.05417016,-0.009238059,-0.0015284887,0.0069479053
160_271_365__vDNAfen551A01_G09,0.0031040506,-0.022604898,0.007864402,-0.012745731,0.012853749
160_271_366__vDNAfen551A01_H09,-0.0071204477,0.06049492,0.022478668,-0.026728678,-0.010365499
160_271_367__vDNAfen551A01_A10,4.6073116E-4,0.043364707,2.800228E-4,-0.015524538,-0.0233873
160_271_368__vDNAfen551A01_B10,-3.2124377E-4,7.4358506E-4,0.06435169,0.04512002,0.01024086
160_271_369__vDNAfen551A01_C10,6.4958044E-4,-0.004783349,0.03111936,-0.023674399,0.0064029763
160_271_370__vDNAfen551A01_D10,-0.0028901873,-0.03367872,0.0321879,0.019742897,-0.0029055553
160_271_371__vDNAfen551A01_E10,-0.0015168592,-0.027195552,0.039321266,0.0030238756,-0.013526663
160_271_372__vDNAfen551A01_F10,-0.0011997059,0.031867478,0.05324543,0.005396616,0.011004466
160_271_373__vDNAfen551A01_G10,0.0029597927,-0.062233426,7.583873E-4,-0.011642605,-0.007788954
160_271_374__vDNAfen551A01_H10,-0.0014539876,-0.002708151,-0.0097134225,-0.0040882546,-0.022131111
160_271_375__vDNAfen551A01_A11,-0.0022556526,0.047356468,-0.016454834,-0.037311908,-0.020923099
160_271_376__vDNAfen551A01_B11,0.003353705,-0.008827808,0.034911957,0.022975888,7.70557E-4
160_271_377__vDNAfen551A01_C11,0.002084183,-3.968034E-4,-0.0549566,-0.06868782,-0.060469378
160_271_378__vDNAfen551A01_D11,0.0063839573,-0.05533079,-2.3528788E-4,0.012755875,0.0063856123
160_271_379__vDNAfen551A01_E11,-0.0068582464,0.016143797,0.044547983,-6.4800447E-4,0.03308489
160_271_380__vDNAfen551A01_F11,0.002033014,-0.03309809,-0.02314736,-0.021038858,0.06021533
160_271_381__vDNAfen551A01_G11,-0.0049968204,0.06070419,0.020595064,-0.030923055,-0.009165383
160_271_382__vDNAfen551A01_H11,2.468041E-4,0.0055717826,0.0489816,0.013086495,-0.03341752
160_271_383__vDNAfen551A01_A12,-0.0015562852,-0.029372176,0.041837044,0.0015713355,0.0022681607
