IVNO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
160_271_63,9,21.69576044,21.74626159,1846.80202,5.041110904,3385.927112,1994.60659,11492.7324,12517.16026,28.51356204,21.76309495,0.079049035,0.467246374,12.30718419,14.12670162,0.007100156,6.039915496,6.590580309,0.250290118,0.002627498
160_271_64,9,20.99021813,9.479573318,1830.313061,47.87102578,2019.963007,1137.386722,5263.395209,22532.76613,107.7488085,82.93309618,0.281032694,1.112154587,7.944634898,15.27716299,0.019226976,3.109593078,13.67328179,0.154078548,0.027331134
160_271_65,9,17.30375046,9.949559044,2280.828639,3.956507627,2786.160167,1212.357269,9273.250039,13691.22354,24.35768041,26.23612596,0.084818841,0.358217014,10.06327187,12.89220875,0.003239458,5.869914151,9.478125597,0.260437005,0.006704332
160_271_67,9,9.653609957,18.29358347,866.3451967,1.88402685,681.6911134,226.1012805,4615.108583,4671.557873,8.265856171,9.573434295,0.068618269,0.358193738,2.865274479,15.76227412,0.002962668,2.446546847,2.640039577,0.026555002,0.00400923
160_271_68,9,16.80829741,232.059267,2327.373319,13.17122255,3056.078509,2322.416145,10941.79672,15644.61585,42.11318905,83.1942465,0.228423018,0.813667529,10.12349973,33.79490372,0.009175687,4.405257444,12.8736716,0.197264335,0.010459246
160_271_69,9,24.6398032,5.64836289,2172.247676,3.691377431,1940.461448,1212.371334,6330.439871,22022.85601,27.26695615,34.73993477,0.136304759,0.614377179,9.157231774,33.0274552,0.003768932,2.646578979,13.67714366,0.176503821,0.101836916
160_271_70,9,14.29791797,18.31940695,1545.430893,42.09165527,2521.617207,1326.94009,7451.844618,7402.421615,109.2176703,23.44846061,0.380759525,1.317614336,12.49763922,9.768269734,0.020345072,8.280137151,2.978123229,0.214555786,0.006761413
160_271_71,9,17.09984686,8.371288642,2016.437174,5.684212587,2067.636587,1530.786888,6486.378446,22655.76327,32.97451697,44.33957525,0.097428423,0.948642112,9.541552967,11.87137457,0.007150281,3.018331936,14.11950364,0.151852597,0.002442945
160_271_72,9,26.26630264,8.714702943,2048.913857,6.354375227,2098.334264,1275.205209,6850.439363,23917.49152,39.14594493,69.91369899,0.152665862,0.651263354,9.604853021,26.68842175,0.010236934,3.421782154,13.30101197,0.143055176,0.005256326
160_271_73,9,15.86769888,9.393342463,3266.755054,14.1529969,1929.932311,1029.712323,5952.819769,21681.04111,48.09013817,43.91942696,0.152591796,0.719160642,7.178170997,23.557054,0.020780074,3.937793835,13.31548999,0.125481815,0.005285972
160_271_74,9,18.71659626,15.07348077,2574.485146,4.173116444,2131.536024,1818.372961,11117.23151,12033.44298,24.85693703,26.98972291,0.124308489,0.499418102,9.014418148,14.43814026,0.007081212,6.02929132,12.15231474,0.124591839,0.009338488
