Aug_24,Label,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63,Y63
MO_640,E49,896.833,580.167,888.5,580.833,886.167,588.5,886.833,594.833,894.833,550.167,897.167,556.5,890.833,555.167,832.5,527.833,838.833,532.833,832.833,535.833,807.667,588.667,813.167,589.167,811.333,593.5,939.5,457.833,842.167,412.5,836.833,432.5,785.5,407.833,674.5,443.5,695.5,474.5,662.833,495.167,554.5,587.5,1453.5,1673.5,1436.5,1679.5,1425.5,1664.5,1432.5,1641.5,1488.5,1798.5,1483.5,1782.5,1475.5,1794.5,1324.5,1844.5,1331.5,1838.5,1320.5,1833.5,1157.167,1684.5,1167.167,1684.167,1163.167,1671.167,1833.167,2054.167,1468.5,2351.833,1436.5,2285.167,1264.5,2361.167,862.5,2308.5,889.5,2132.5,749.5,2032.5,512.833,1966.167,917.167,2810.167,910.5,2809.833,911.167,2824.5,916.5,2832.833,919.833,2767.5,920.833,2774.5,914.167,2769.167,843.75,2749.75,849.75,2755,844.25,2760.5,810.833,2836.667,817.5,2836.167,815,2842.833,1004,2633,837.5,2570,827,2599.5,745,2601,624.5,2674.5,669.5,2723.5,650.833,2791.833,NA,NA,NA
MO_641,E50,1035.5,627,1027,624.5,1021,634,1019.5,641.5,1052,574.5,1051.75,580.5,1045.5,578,973,545.333,976.833,550.5,969.167,553.167,882,613.75,889,614.25,885.75,619.75,1190.5,451.833,1036.5,300.5,1009.167,348.5,943.167,297.167,728.5,332.833,746.5,406.167,673.5,442.5,516.5,556.5,1109.5,1699.5,1099.5,1696.5,1095.5,1686,1085.5,1670.5,1117.5,1795.5,1115.5,1786.5,1109,1790,994.833,1789.5,1001.5,1786.833,992.833,1780.833,836.75,1676.5,844.25,1677.75,839,1670.25,1271.5,1984.5,1025.5,2130.5,1001.5,2059.5,871.5,2096.5,614.5,1953.167,659.167,1865.167,606.167,1810.167,481.5,1704.167,972.167,2738.167,965.167,2734.5,958.5,2740.833,975.833,2748.833,998.5,2686.5,997.5,2693,988.5,2688.5,918.5,2640.5,924.5,2646,914.5,2651,839.833,2723.833,845.833,2725.5,842.5,2731.167,1149.167,2623.5,1046.5,2452.833,1002.5,2472.833,914.5,2416.833,718.5,2447.5,709.5,2540.5,658.5,2563.5,559.833,2696.833,2696.833
MO_642,E52,868,554.5,862,556,860.25,564,861.75,571.5,858,528.25,861.25,534.5,852.75,533,806.667,526.667,813.5,528.667,809.667,533.5,807.375,579.625,812.5,577,812,584,880,413.5,752.833,400.167,756.167,423.5,705,428,610.833,518.833,648.833,549.5,626.833,580.167,602.5,724.5,1333.5,1691.5,1327.5,1688.5,1323.5,1697.5,1333.5,1713,1373.75,1612.25,1372,1617.5,1366,1612,1269.25,1573,1272.5,1579.5,1266.25,1581,1159.75,1695.5,1168,1695.25,1165.5,1705,1580.5,1503.5,1456.167,1285.833,1418.5,1318.5,1314.167,1230.167,947.5,1235.5,972.5,1361.5,821.5,1408.5,492.5,1713.5,880,2804.667,874.5,2802.5,871.833,2811.667,874.5,2819,885.5,2752,885.333,2758,879,2755.833,819.333,2744.333,824.667,2748.5,820.333,2753.5,773.5,2819.5,779.833,2820.167,778.333,2825.833,936.167,2683.833,866.833,2627.833,848.5,2648.5,778.5,2621.5,690.167,2667.5,705.5,2692.5,615,2736,601.5,2786.5,2786.5
MO_643,E56,990.167,714.5,982.5,715.167,984.5,727.833,985.5,734.833,978.167,666.5,980.5,672.833,973.5,673.833,916.5,689,922.5,690.25,919.75,695.25,895.667,759.833,901.667,758.333,900.167,765,1021.5,530.167,854.833,492.167,858.167,522.833,772.833,535.5,622.5,657.5,670.5,694.5,663.5,742.5,674.5,939.5,1452.5,1714.833,1442.5,1716.167,1443.833,1746.833,1440.5,1761.5,1456.5,1619.167,1456.167,1628.167,1446.5,1623.167,1310.5,1557.167,1317.167,1565.833,1309.833,1569.167,1217.5,1718.167,1227.5,1718.5,1224.167,1726.5,NA,NA,1397.5,1112.5,1351.5,1188.5,1202.5,1159.167,776.5,1295.5,838.833,1401.167,725.5,1511.833,559.5,1852.5,1250.833,2854.5,1240.167,2850.5,1241.5,2815.167,1240.167,2803.167,1252.167,2899.833,1252.833,2889.833,1242.833,2897.167,1144.833,2952.5,1153.5,2944.5,1144.167,2939.833,1013,2828,1020,2828.5,1016.5,2818,1405.5,2992.833,1242.833,3263.5,1196.167,3240.833,993.5,3287.5,802.167,3159.5,803.5,3092.833,704.833,3011.5,NA,NA,NA
MO_644,E57,884.5,606.25,879.25,605.75,881,618.25,882,625.25,880.75,579.5,882.5,584,875.25,583.75,818.167,555.667,823.833,558.167,819.5,563.333,805.333,618.333,811.5,618.5,809.667,623.667,921,487,811,437,811,462,761.5,440.5,659.5,476.167,684.167,517.5,650.833,529.5,NA,NA,1186.5,1723.167,1173.167,1723.167,1169.5,1736.167,1170.5,1746.833,1192.833,1630.833,1192.5,1638.833,1184.5,1634.5,1076.5,1622.833,1082.167,1629.167,1076.5,1632.167,1005.167,1743.833,1013.5,1745.167,1011.833,1754.167,1360.5,1460.833,1095.833,1282.5,1077.833,1340.5,956.5,1308.5,674.833,1446.5,727.5,1517.833,633.5,1601.5,522.5,1879.167,1066.833,2863.5,1057.833,2861.833,1054.5,2848.167,1054.5,2835.5,1065.167,2927.167,1067.167,2921.833,1058.5,2921.833,957.833,2950.833,962.5,2946.5,956.833,2941.5,912.75,2818,919,2820.75,919,2812.5,1134.5,3034.5,987.5,3135.5,975.5,3096.5,869.5,3128.5,712.833,3013.833,746.167,2961.833,680.833,2891.167,609.5,2751.5,2751.5
MO_645,E58,934.5,647.5,928.5,645,922.75,648.75,921.75,655.75,936.25,633.5,937,638.75,930.25,636.25,886,591.25,891.25,596.5,885.667,598,855.5,634.167,861.333,635.167,859.5,640.5,998,544.5,904.167,454.833,896.833,485.833,850.167,449.167,722.5,466,745.5,522,709.5,541.167,558.5,641.5,915.75,1676,909.5,1676.75,905.25,1683,908.25,1691.25,912.25,1651,915.25,1657,908,1657.75,834,1627.75,839.5,1629.5,835.75,1634,828.667,1694,835.333,1692.167,832.333,1699.167,945.167,1506.167,788.5,1454.5,791.833,1489.833,727.167,1472.5,591.5,1542.5,634.5,1597.5,580.5,1640.5,532.5,1749.833,978.75,2821.25,973,2820.5,964.75,2816.5,962.25,2808,977,2844,980.5,2837,970.75,2836.5,905.25,2891.25,911.25,2888.25,906,2883.75,860.25,2828,868.75,2827,861,2820.75,1031.5,2976.5,906.5,3061.5,898.5,3037.5,841,3033.5,677.5,3016.5,700.5,2977.5,645.5,2944.5,550.833,2896.833,2896.833
MO_646,E60,777.75,631.5,774.5,626.25,770.25,633.75,769.5,641.25,791.5,600,791.75,603,785.75,601.5,746.25,591.5,749.5,595.25,745,597.5,709.5,630.5,715.25,630.5,713,637,830.167,564.833,787.5,518.833,778.833,525.5,739.5,513.5,663.5,520.5,659.5,541.5,628,564.5,579,617,1283.5,1560.5,1274,1562,1270.5,1575,1283,1588.5,1286,1498.5,1286,1508.5,1275,1505,1143.5,1462.167,1149.833,1467.167,1143.5,1471.5,1073.5,1622.5,1080.167,1621.167,1081.5,1631.833,1465.5,1267.5,1194.167,1110.833,1173.167,1176.833,1038.5,1128.833,732.5,1284.5,778.5,1378.5,697.5,1468.5,488.167,1554.5,1169.5,2874.833,1158.167,2870.833,1150.833,2881.5,1153.5,2894.833,1190.5,2800.833,1188.833,2808.833,1181.5,2801.167,1081.75,2742.75,1087.5,2751.5,1080.5,2756,978.5,2853,988.25,2854,983.5,2861.75,1405.5,2678.5,1222.833,2452.5,1190.167,2499.833,1080.5,2427.5,772.5,2481.5,825.5,2593.5,732.5,2665.5,540.5,2900.167,2900.167
MO_647,E61,955.5,566.167,949.167,563.833,946.5,549.167,943.5,542.167,957.5,611.167,957.833,606.167,952.833,608.167,902.5,606.5,907.833,603.167,902.833,598.833,869.667,550.167,875,550.667,872.333,544.333,1022.5,692.5,911.5,762.5,898.5,746.5,839.5,755.5,720.5,681.5,743.5,661.5,716.5,644.5,637.167,566.5,1314,1753,1303,1747.5,1335.5,1688.5,1330,1676,1329.5,1839.5,1328.5,1829,1321.5,1836,1202.25,1847.75,1208,1846.5,1201.25,1836.5,1087.75,1706.25,1096,1707,1091.5,1697.5,NA,NA,1261.5,2269.5,1234.5,2220.5,1083.833,2272.833,718.5,2148.5,762.5,2034.5,637.5,1946.5,453.5,1642.5,873.25,2889.25,865.75,2886.75,865.5,2878.5,867,2870.75,856.5,2938.75,860,2932.75,851,2929.25,788.667,2933.333,794,2932.333,789.667,2927.667,740.833,2854.833,747.5,2856.5,746.167,2848.667,895,3043.5,763.5,3087.5,760.5,3065.5,674.5,3065.5,545.5,2980.167,586.167,2948.167,548.833,2898.167,473.5,2814.5,2814.5
MO_648,E62,826.333,594.5,821,594.667,816.167,599.833,815,606.5,828,571.833,828.333,577.333,822.667,575.167,788.25,556.375,792.875,560.375,787.625,563.5,763.75,593.125,769.625,593.5,766.875,597.75,868.5,531.5,813.167,488.167,804.167,496.167,773.5,480.833,708.5,507.75,710,527.25,692,541.5,661,580,1388.5,1741.833,1379.833,1740.5,1376.5,1754.167,1380.833,1768.167,1396.833,1615.833,1398.167,1624.5,1388.5,1621.167,1249.5,1584.833,1259.5,1589.167,1250.833,1595.5,1164.5,1749.75,1176.25,1751.75,1171.25,1759.5,1609.5,1405.5,1331.5,1159.5,1283.5,1231.5,1084.5,1156.167,698.5,1289.5,790.5,1417.5,649.5,1496.5,489.5,1800.5,1196,2935.75,1190.5,2933.25,1186.75,2921.5,1187.25,2910.25,1179.25,3030,1181,3022,1172.5,3024,1064.75,3037.5,1070.125,3033.875,1064.125,3028,1004,2913.25,1009.75,2913.875,1006.5,2906.375,1318,3147.5,1151.5,3270,1126.5,3240.5,999.5,3269.5,794.833,3193.5,831.5,3115.5,745.833,3049.833,NA,NA,NA
MO_649,E63,1117.167,568.833,1109.5,573.5,1106.167,581.5,1109.5,589.833,1117.833,519.5,1119.167,525.167,1111.167,523.167,1022.833,487,1026.5,490.833,1021.833,494.5,984.333,590.833,991.833,591.167,989.167,597.333,1226.167,369.833,1030,261,1014.5,295.5,938,262.5,753.5,332.5,771.5,389.5,712.5,425.833,558.5,592.5,1129,1644.75,1120.5,1644.5,1122.5,1618,1116.75,1607.5,1144.5,1702.75,1143.5,1694.25,1136.75,1699,1055,1740.25,1058.75,1734.5,1050.25,1731.25,1003.833,1617,1010.667,1618,1006.333,1611,1317.5,1845.5,1090.5,2036.5,1070.5,1984.5,959.167,2025.5,714.5,1905.5,754.5,1840.5,705.5,1784.5,532.833,1655.167,1124.5,2728.75,1114,2735,1108.25,2749,1107,2759.5,1125,2663.75,1126.25,2671.5,1119.5,2669.75,988.167,2624.667,994,2626.5,989.5,2632.167,919,2766,925.5,2765.75,923.75,2772.5,1268,2444.5,995.167,2351.833,989.5,2404.167,872.833,2381.167,657.5,2490.5,692.833,2552.5,619,2580,526.5,2810.5,2810.5
