,INVO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
37,483164,4,-0.34564525,0.1938194,1.0997896,-0.08132234,0.69646823,0.073358715,-0.28536835,-0.2585728,-0.30491856,0.6846579,1.892117,0.16120861,0.9556063,0.43685704,-0.024343673,-0.10763187,-0.41536522,-0.9185553,0.015341127
38,588584,4,0.09772722,-0.36799976,1.1908591,-0.059244182,-0.7042849,0.08065679,-0.48530442,1.0938845,0.24145494,2.5004344,1.5914196,0.2613663,-0.3841324,1.221032,0.017325843,-1.0802739,0.6516022,-0.8413587,0.17464986
39,588648,4,-0.49683812,-0.39189738,0.9620011,-0.08570445,-0.6358902,0.06216125,0.25671008,-0.15675987,-0.4254669,-0.7744079,-0.83669734,-0.1774004,0.2813176,-0.9028993,-0.07337348,-0.82007676,-0.1538418,-0.8128826,-0.00978886
40,594349,4,0.3938121,3.3498685,0.049499873,-0.0688371,1.2859854,0.064760216,1.6237376,-1.517165,-0.32478857,-0.87724197,-0.30120498,-0.034092713,1.0625868,0.7155168,-0.03771371,2.1269631,-1.4663634,-0.2743097,-0.02894711
41,588583,4,1.2192532,1.5267857,-0.33606976,-0.05903461,1.0332438,0.078359336,2.0416536,-1.8219515,-0.5348817,-0.7576207,-0.71229935,0.37634075,0.31472188,0.017950213,0.17426065,0.051905937,-1.6697346,-0.7402828,0.19770856
42,588585,4,0.4836972,0.11680305,0.15024085,-0.08264972,-0.45579758,0.060636964,0.48036575,-0.661514,-0.27885228,-0.33057106,-0.54508764,0.06914665,0.46598083,-0.36056092,-0.081220545,-0.49380443,-0.7352782,-0.9154499,0.09455204
43,1587,4,-0.594588,-0.21874166,-0.77604216,-0.082942076,-0.26590642,0.053659316,-0.5260022,-1.7606875,-0.64428085,-0.26141915,-0.4090601,-0.2594156,-0.46842116,-0.58589196,-0.08003597,-0.23882213,-1.4570895,-0.7595015,-0.16062592
44,483162,4,-0.037506316,0.341592,-0.35007623,-0.08173451,-1.1852659,0.0571791,-0.042403847,0.041694827,-0.7271729,0.24813318,-0.20205636,-0.15717073,0.018116698,0.21866485,0.036928248,-0.826765,-0.045388605,-0.83219326,0.18230239
45,483151,4,-0.28700346,0.3374728,0.21611305,-0.07521297,-0.13850066,0.06892462,0.28835115,0.1804173,-0.2978845,0.9928087,0.417081,-0.044635095,0.200748,0.25960264,-0.015846174,-0.25489384,0.07026779,-0.84014714,0.598853
46,483159,4,-0.12676395,0.860384,1.6377518,-0.06187676,0.53245,0.0673618,1.8152735,-1.0245333,-0.55335015,-0.945154,-0.6879814,0.37705132,0.75666016,0.4358299,-0.057771284,-0.038900618,-1.0068729,-0.8809062,-0.05922362
