,INVO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
19,588198.0,3.0,-0.040412627,1.5151815,1.467016,0.025286524,1.8096884,2.108233,0.99451894,0.003314677,0.71796894,0.5472279,1.7908489,0.6898133,0.6952064,0.8445108,-0.13461831,1.8015153,0.39945155,0.7092123,-0.23725288
20,588205.0,3.0,-1.7197484,-0.0780546,0.58233017,0.88713896,1.6328925,-0.3681575,0.6696252,-0.57298994,0.73633754,0.58400947,0.844934,-0.22227022,0.4380936,1.0186495,0.26226813,0.86099744,-0.559246,-0.2667016,0.9998051
21,588200.0,3.0,2.6855779,3.9221475,0.7235294,7.125714,1.14425,1.2232784,0.19672717,0.24937096,0.82918495,0.22280532,0.2110465,0.8614868,1.8322673,1.0378267,0.8839391,1.5681448,2.6036916,0.7198872,-0.06550934
22,588186.0,3.0,1.0982623,0.8603821,-0.2188598,0.09763667,2.1747372,2.816185,0.9731064,1.0753192,0.24911444,1.7355454,1.1815844,0.41647655,2.3177893,1.5147916,0.20753933,-0.22359876,1.011382,4.2212024,1.2440301
23,588221.0,3.0,-0.6622907,0.17024174,0.016899033,0.20864432,0.55468994,3.7862408,-1.2395283,2.8359346,0.73645025,2.5228946,1.8373967,0.28955764,1.4021513,1.904811,0.065781645,-0.8583634,1.911362,5.4483414,2.4729965
24,588398.0,3.0,-0.0454543,-0.46847817,0.23257439,-0.08709388,0.32621697,-0.23235054,0.9373453,-0.7337105,1.2129089,-0.14585985,-0.0054660523,0.7840898,1.6612225,0.84755236,-0.25361443,-0.29263058,-0.666246,0.09200962,1.1857988
25,588218.0,3.0,3.2373002,2.7683477,-0.3636191,-0.083535984,1.6364263,0.80980486,1.9458549,-0.54746366,0.43818498,0.4262933,0.7933678,3.0893044,2.4094765,1.8369468,0.37620384,1.4046993,-0.8138936,2.7985616,1.6015216
26,588154.0,3.0,-0.20187344,-0.34186837,1.1426014,-0.23476957,1.0488012,1.0263544,-0.110161446,1.2010798,0.577788,0.7260103,-0.008427866,0.47423306,1.1216096,-0.291255,0.6940421,-0.39689577,1.1771077,1.3971133,0.6092297
27,588356.0,3.0,5.2298512,2.7722387,0.07890604,0.5461767,2.043025,1.2181859,1.0305507,-0.21188718,0.9534157,3.4159286,2.9993494,1.7235483,2.0536594,2.062588,0.26463038,0.29233393,-0.7942287,-0.14222622,1.401937
28,588208.0,3.0,1.3743168,2.442863,2.9649317,0.034436975,3.5287323,2.6556182,3.1145322,1.7372497,3.4554117,1.322075,1.820048,3.8441641,5.734021,3.9426486,1.5531683,1.5838144,1.2225431,1.8998269,1.0859097
29,588197.0,3.0,-0.057626646,0.7032788,0.38575312,0.036738005,0.813701,0.31777635,1.4176803,-0.6112966,1.109362,0.5798217,0.91639155,1.883803,0.345136,0.556465,-0.25861746,0.20071003,-0.9298694,1.9672598,0.15406284
30,588219.0,3.0,-0.8467481,0.18758006,1.83333,-0.05184526,2.187358,2.2021492,1.4923738,0.19890743,2.5002382,2.0554392,1.8595333,2.443476,1.7701095,1.745579,0.46351987,0.40577474,-0.105040364,2.9522073,0.07610169
31,588217.0,3.0,-0.72961986,-0.6995707,2.271071,-0.21234618,-0.5884313,-0.20138651,-1.3083481,2.1926906,-0.13068499,-0.37370387,-0.5374894,-0.48234197,-0.11634378,-1.1016822,-0.18558349,-0.61971885,1.9352504,1.0945683,-0.93036747
32,588134.0,3.0,-0.5422881,0.03456975,0.78962547,0.07101465,1.5005754,1.5210664,2.7675889,1.5824578,0.69822824,0.2333487,0.57577795,1.2200222,3.2712097,2.318192,0.7496473,-0.385232,1.2677466,2.1249125,0.94170225
33,588685.0,3.0,-0.43598562,0.8846665,0.64152074,-0.04805789,-0.34836498,2.092964,0.15841474,0.8379912,0.6926802,1.8703244,1.2798529,1.1247938,1.2914386,0.96615577,0.13426147,0.23572725,0.90265447,2.3680098,1.3316766
34,588575.0,3.0,-0.86009294,-0.303642,1.2741239,-0.016743226,1.6484934,0.4531657,0.2801463,0.16696198,0.49081936,0.7531185,1.5893847,1.2046738,1.6080377,0.8617207,0.39495504,-0.3236453,-0.055664577,5.7862773,2.9700737
35,588466.0,3.0,-0.15776312,-0.3529098,0.60087955,0.26262882,0.9190499,0.44376877,-0.3896713,0.23222747,0.5264638,0.2570791,0.18502656,-0.14783335,3.5712461,0.19087294,-0.1491361,-0.17125891,0.14348026,1.1089749,0.10734861
36,171.0,3.0,-0.6530837,-0.2568827,-0.8112333,-0.24643117,0.1324056,1.4993439,-1.0066123,0.66803086,1.6874992,0.54850477,0.09872661,-0.4976079,0.3944056,-0.36257392,-0.30004394,-0.931934,0.59097534,-0.81786877,1.1591017
37,588678.0,3.0,0.33600923,-0.5770682,0.051405497,0.3560715,1.1004713,-0.15423843,0.11869121,-0.3835585,-0.64647347,0.98419285,0.80934894,1.1975319,1.9772547,0.39141542,-0.21545134,0.06267042,-0.5765393,2.7360601,0.31258786
38,597232.0,3.0,1.1967137,3.3288975,-0.8206625,0.18457295,-0.022942921,-1.0061889,1.5570196,-1.4093728,0.16345668,-0.17697617,0.1938284,2.1776714,0.30682957,1.5910769,-0.19742653,0.4483783,-1.7198639,0.39740762,1.9826717
39,588460.0,3.0,-0.067653336,-0.06450999,0.46921024,-0.02653415,1.3567339,0.6244918,-0.44206586,0.77947676,0.038062792,-0.33010674,0.54102,0.7622173,1.8809885,0.67908025,-0.115411095,1.0440744,0.5124641,0.93426883,0.052515235
40,588143.0,3.0,-0.38163823,0.36757168,1.1561782,3.384069,2.3443136,2.1924365,1.5540856,2.2443843,1.4005089,1.3194509,1.3357188,0.9951214,1.6023422,1.4732872,0.12694412,0.13832603,1.2930843,2.1129026,1.6461529
41,588328.0,3.0,0.10748297,-0.17538948,1.7932144,-0.064641,1.3689033,0.10558403,0.27977604,0.76335347,2.4830804,0.7326335,0.81920624,2.3513863,0.8613597,0.83309597,-0.06174621,-0.28662756,0.41337067,1.8168755,1.1477798
42,588329.0,3.0,-0.28620914,1.5163568,-0.17317308,0.9335703,0.7000238,1.4746096,1.4487921,-0.7106584,0.015474815,5.286243,3.4643068,3.1438572,1.0962521,2.0920327,0.6618198,0.097356975,-0.92991877,0.25567627,0.6087762
43,588372.0,3.0,1.0384756,2.419439,-0.2556254,0.23093197,3.0777528,-0.3046473,3.9644332,-0.12193251,2.1659021,-1.0708959,-0.7181744,0.8647318,2.4332988,-0.2944992,-0.24955817,-0.12161992,-0.2663623,1.373463,0.397817
44,588352.0,3.0,-2.1684299,2.4595537,-0.107382044,0.46420476,2.0865242,1.0640781,0.8316188,1.1682888,0.054890964,2.077313,1.1448028,1.6122981,2.051644,1.648854,-0.116584875,-0.058414083,0.8918104,0.22538063,0.54031456
45,588220.0,3.0,0.98045397,0.77346766,2.7000203,-0.1391745,2.3847942,1.6356424,0.25186226,1.614439,1.9602885,0.95739686,0.95362157,0.82562494,1.822375,0.81365913,-0.36384973,0.17118274,3.046622,1.6494801,0.039755955
46,588222.0,3.0,-0.19399583,-0.5704402,1.1294,-0.2180848,0.05585524,0.52152383,0.75048983,1.9404833,1.8812305,0.7018718,0.8582349,1.0244713,1.1442424,-0.10194448,-0.07485464,-0.4044624,2.2473974,0.8521598,1.4555203
47,588173.0,4.0,0.49584785,0.18676086,1.5799303,-0.05716958,0.7554971,1.0917,0.7491319,-0.48130253,-0.52660966,-0.10894409,0.5559215,0.20352226,1.0120507,0.58379614,1.175505,0.29569608,-0.67094934,-0.8872881,0.7762324
48,588182.0,4.0,0.5374781,-0.35057497,1.3465066,-0.08918181,-0.5608799,0.22858794,0.32679108,-0.354274,-0.09557058,-0.6551633,-0.40795523,-0.020012468,0.58179665,-0.26584977,-0.056943808,-0.3285534,-0.2450544,-0.7913484,0.057022046
49,588165.0,4.0,-0.6650438,1.2175254,1.0130048,0.038774006,1.5328599,1.1497518,1.7115698,-1.0461482,-0.45868784,0.93930566,0.5951489,0.1548438,0.08534824,1.8156234,0.541093,0.80814517,-1.2363592,-0.88928807,0.29079223
50,588128.0,4.0,-0.59799594,1.0542815,0.56530005,-0.16215952,0.030031784,1.9188827,-0.74739605,-0.4640534,0.21049115,-0.04298465,-0.05948725,-0.2567891,0.5589408,-0.32148862,0.5149375,-0.2969851,1.0066258,1.8679564,0.55511475
51,483160.0,4.0,0.37431362,0.7307848,1.2503166,-0.041722644,0.39296007,2.091771,0.046797775,0.48563597,-0.27182263,1.9992071,1.4248726,0.2592857,1.4615391,1.4845945,0.35074013,-0.42745638,0.4087047,-0.8573855,1.2691946
52,483161.0,4.0,-0.9477336,-0.36288685,1.445478,-0.2305402,-0.33018854,1.0584526,-0.049436584,0.811186,-0.3862314,0.10941501,0.041715164,-0.07792069,0.23604228,-0.41221797,0.3323584,-0.19654955,1.0340217,-0.9522442,0.08476321
53,483148.0,4.0,-0.48618504,-0.4375734,1.6669298,-0.2646084,-0.6082072,-0.4358341,0.29058242,0.13337237,-0.37852383,-0.5315467,-0.7310647,-0.086086474,0.52422583,-0.4708396,-0.3374961,-0.9191333,0.100203216,-0.9157016,0.13085583
54,483164.0,4.0,-0.6012466,0.18114197,1.1022785,-0.16029984,0.72748524,0.18057631,-0.31352752,-0.2726713,-0.5125247,0.6814651,1.8868243,0.1706618,0.955513,0.43865427,0.52087736,-0.09307895,-0.41925707,-0.91736966,-0.17377098
55,588584.0,4.0,0.33941296,-0.4002404,1.1946155,0.16285586,-0.7975341,0.6457922,-0.51999116,1.0939598,0.64103633,2.5231156,1.5868675,0.33227336,-0.40148774,1.2728652,0.99356496,-1.0931363,0.64693016,-0.84035826,0.3588004
56,588648.0,4.0,-0.92201763,-0.42497015,0.9625719,-0.2244403,-0.7230719,-0.5332066,0.24624878,-0.1697914,-0.76703906,-0.7983917,-0.83526963,-0.37570783,0.27253634,-0.98658806,-0.035303354,-0.8256052,-0.15792489,-0.81195045,-0.25778088
57,594349.0,4.0,0.967587,3.4470882,0.037369363,0.02244536,1.3693006,-0.36753532,1.6579072,-1.5444536,-0.5544764,-0.9026911,-0.30109605,-0.14447072,1.063872,0.7350945,0.36921135,2.2045019,-1.469487,-0.27466947,-0.3218272
58,588583.0,4.0,2.718844,1.5605237,-0.35356712,0.16592334,1.0941374,0.49934095,2.0894675,-1.8524344,-0.99804705,-0.78136533,-0.711178,0.51779276,0.30637103,-0.006981767,2.7737904,0.07095568,-1.6727092,-0.7395248,0.43588594
59,588585.0,4.0,1.1582874,0.10144381,0.13951258,-0.17972848,-0.5270025,-0.6303722,0.4772064,-0.6798354,-0.4574909,-0.3482304,-0.5443781,0.022113312,0.4595789,-0.4096446,-0.12431831,-0.49013638,-0.7389361,-0.9142717,0.09103223
60,1587.0,4.0,-1.1294038,-0.24578494,-0.7996636,-0.18400764,-0.32026538,-1.0751628,-0.5620176,-1.7905283,-1.229022,-0.2780931,-0.40868554,-0.50804514,-0.48686254,-0.6493533,-0.11088077,-0.22796701,-1.4602197,-0.75869745,-0.7620314
61,483162.0,4.0,0.052501306,0.33406016,-0.36776856,-0.16633268,-1.3211848,-0.85079384,-0.06263066,0.030743131,-1.4040325,0.23872013,-0.20219164,-0.3430658,0.0059441873,0.20653988,1.2159293,-0.832482,-0.049551003,-0.8312147,0.3843829
62,483151.0,4.0,-0.47683212,0.32979754,0.20630167,-0.07087758,-0.18155698,-0.10207502,0.2789229,0.17091942,-0.49767366,0.99400693,0.41542095,-0.1614816,0.19092862,0.25008976,0.61727065,-0.24449173,0.06602083,-0.83914953,1.7769175
63,483159.0,4.0,-0.1368678,0.8709171,1.6477287,0.12432311,0.54891634,-0.20169719,1.8556964,-1.0466591,-1.0370395,-0.9715709,-0.6869199,0.5189393,0.7540035,0.4375616,0.14168373,-0.0224104,-1.0103322,-0.87981087,-0.423042
64,588658.0,4.0,-1.230761,-0.2637007,0.9356952,-0.08193943,0.14399387,-1.0632559,0.6515064,-0.5747684,-1.4616882,-0.99652106,-0.7740188,-0.4128031,-0.15916434,-0.4349754,-0.3397296,-0.59563637,-0.6636904,-0.84509677,0.52515584
65,588675.0,4.0,-1.0294564,1.492614,0.09799347,-0.09580704,0.95664746,-0.73017186,0.40109897,-0.9489724,-1.7234225,-0.826223,-0.8266957,-0.36968347,0.17705156,-0.8811153,-0.45220974,-0.21904843,-0.72102094,0.09923836,-0.71931756
