IVNO,genus_species,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
318684,Vitis_acerifolia,91.82872738,79.43602165,1912.748061,5.882494867,3371.07036,2574.70672,9940.165174,14466.39822,78.71280012,438.453718,0.182501749,0.579481069,27.98308763,78.41356109,0.006585143,4.862208748,22.39168315,0.413513579,0.023319086
588141,Vitis_acerifolia,58.20602176,40.65257977,1566.902969,5.856940141,3544.08132,2189.611721,9653.263267,8230.55057,54.14381486,236.2126671,0.091405792,0.244902997,23.98394366,54.92309501,0.009039899,2.714894673,13.82409929,0.304084047,0.020963084
588646,Vitis_acerifolia,63.90144939,57.63608651,2274.547638,6.819170062,5495.366871,2614.728325,13967.89758,12394.6114,55.2496616,259.6902364,0.086835084,0.519296556,41.15356857,58.57507285,0.004803139,2.461506174,14.48861994,0.401304275,0.06851824
588378,Vitis_acerifolia,72.83957327,72.56335702,1190.390687,5.091528431,3078.075354,1765.972055,7978.4108,6200.788479,41.96787313,319.1732607,0.111686803,0.236067926,14.94978157,70.74757402,0.009074974,2.569613638,6.336152865,0.178759884,0.015921996
1583,Vitis_acerifolia,66.85064792,34.50811178,2073.380089,8.013733899,5045.403214,2840.104738,10526.67726,8710.188433,50.25605212,329.6463036,0.132228953,0.490120361,69.0278815,74.56196348,0.017069203,2.16931186,9.09821252,0.101519047,0.024884464
588459,Vitis_acerifolia,83.47371064,62.10617216,1351.389081,6.09328897,2804.050119,2538.942315,10562.89123,8610.542365,66.69559057,349.5399646,0.169621936,0.401278664,28.38502321,75.16108763,0.004986316,5.604253038,8.842249777,0.443254517,0.020659605
588448,Vitis_acerifolia,53.07686778,35.15264308,1323.182972,6.081406566,5176.050614,2275.388272,10183.87247,12944.84939,51.41261086,255.6353867,0.091549533,0.233493009,30.53909062,56.6038963,0.004564735,3.997850103,12.68156765,0.306731422,0.033728486
588144,Vitis_acerifolia,56.18584076,60.20424343,1112.413445,8.337840403,4137.543567,1955.46454,11905.18301,7398.509371,26.18536189,231.4732543,0.087363302,0.199151816,21.14399655,60.77209416,0.007968962,5.137632617,6.716987176,0.318212292,0.014496944
588325,Vitis_acerifolia,46.75581553,81.06714259,1232.338474,6.879284527,3755.011565,2191.161631,13501.09137,6293.469535,38.76209187,320.0816652,0.12398189,0.257177846,20.2655417,70.6448398,0.009361044,4.680314465,6.786861154,0.267174465,0.022915881
588393,Vitis_acerifolia,62.65807152,115.180427,1288.766264,8.833836394,4360.74561,2494.736935,13498.67272,8514.843025,67.81151714,399.0752809,0.149547925,0.27944897,20.0008331,67.55747783,0.010668463,5.529679196,13.43727179,0.393369141,0.012188515
588324,Vitis_acerifolia,63.31203244,69.05056875,1264.015801,5.44715951,3951.544634,1883.052625,11168.01026,7144.590752,38.87935708,259.5798574,0.097468231,0.213492013,22.05820154,57.13984036,0.006561374,1.970782755,13.92359885,0.314160756,0.008990759
588442,Vitis_acerifolia,105.1160522,95.11428079,1021.285949,6.066182356,2633.712735,1436.040661,10017.21917,7344.607401,59.59302889,277.5252671,0.107107684,0.278195389,20.82664137,136.8905504,0.008535676,2.678056634,8.870846172,0.357215628,0.027813612
237621,Vitis_aestivalis,71.87349385,45.22903277,1603.546242,8.159919594,4393.409341,2711.498166,13767.93049,9717.877932,64.50716906,307.7186642,0.128909356,0.373840641,58.6936289,67.03161834,0.009478355,2.295907381,11.7957517,0.557182035,0.033418537
588677,Vitis_aestivalis,72.88227542,122.3658932,2292.764998,7.836160484,5635.994827,3378.717882,14987.08229,12600.28993,67.35440563,456.3218706,0.21128524,1.209762889,110.6168662,95.42371256,0.02223058,4.048935131,15.07766237,0.105839245,0.028504664
483143,Vitis_aestivalis,72.12981082,38.26540629,2069.397212,7.536045363,4193.772751,2281.503959,9101.275592,10749.97866,62.30029482,179.8286617,0.082572424,0.558884369,45.73090454,73.87645842,0.014042672,1.02646228,12.4859198,0.064029279,0.048779451
588626,Vitis_aestivalis,53.03813623,71.88974067,1093.294211,8.732758374,4342.121917,1904.224498,15354.0556,7953.29944,47.62584567,412.2698757,0.14278819,0.552394453,45.91829475,92.47213689,0.0183212,1.795848706,9.149404561,0.2173221,0.039669791
483138,Vitis_aestivalis,74.31376049,87.31690356,1778.3748,10.45831177,4732.487345,2774.719967,12109.55412,10777.66884,31.00866123,419.1779127,0.158769552,0.788978984,54.94654811,114.7094792,0.006945985,2.35312121,12.59046471,0.040699563,0.078271879
483130,Vitis_aestivalis,60.84106972,39.62121265,2125.709321,7.897159021,5215.649556,2788.598849,11668.15254,12144.87918,40.55784883,185.0485323,0.079231401,0.333672455,63.15715397,76.41358848,0.008009374,1.538147865,16.86599403,0.044831226,0.044140849
588199,Vitis_cinerea,135.5963819,247.354037,2899.076006,34.13983118,8001.357537,4063.417387,23984.95249,7637.784859,83.22021955,981.3262148,0.483105007,6.063470594,115.3786752,266.202852,0.072776585,16.67806875,7.428182496,0.306074624,0.037654555
588198,Vitis_cinerea,75.6160053,146.91271,2584.498737,11.48946118,6837.658995,3798.687464,17603.45818,10094.83999,74.04549705,412.4531804,0.257390384,1.526185567,76.8865897,110.8872936,0.010281561,6.410246412,14.08194963,0.676236725,0.025632043
588205,Vitis_cinerea,38.47781381,67.11022129,2132.286334,26.88091626,6626.689111,2375.067396,16438.67187,7902.634776,74.43316981,417.1548012,0.196843228,0.588266059,68.42937445,116.6124149,0.016085848,4.533410171,8.902794407,0.292822327,0.045991233
588200,Vitis_cinerea,135.9007668,267.4735444,2204.461159,138.2929643,6043.594046,3289.947415,14743.2708,11030.81351,76.39272722,370.983711,0.156268661,1.70272198,114.2879476,117.2428994,0.025177509,5.944547245,25.98987793,0.680430637,0.028458555
588186,Vitis_cinerea,100.7975852,114.1149183,1722.753289,12.78153166,7273.270354,4205.672885,17526.69139,14172.63812,64.15025855,564.3504159,0.218391916,1.245106185,130.2582301,132.9239786,0.015285464,2.369060674,17.38777108,2.056017856,0.050010628
588221,Vitis_cinerea,61.86328977,79.546963,1843.262828,14.76396987,5340.074226,4763.335797,9594.108316,20869.84355,74.43554779,664.9936823,0.260369875,1.114592139,100.1401398,145.7465697,0.013212321,1.102365786,22.24971765,2.538132737,0.070236649
588398,Vitis_cinerea,75.50450961,47.55456831,1953.506571,9.482507417,5067.438356,2453.139697,17398.48335,7291.269891,84.49127199,323.8589149,0.142409888,1.623132619,108.6617685,110.9872895,0.008541296,2.231305272,8.324750207,0.433751813,0.049052271
588218,Vitis_cinerea,148.1019989,209.68168,1648.758727,9.546046366,6630.905993,3052.25096,21014.12127,7999.73416,68.14061862,396.9946601,0.193542522,3.993645564,133.2740949,143.515412,0.017752107,5.618386146,7.527115708,1.497094571,0.055894133
588154,Vitis_cinerea,72.04533018,53.89623751,2418.67231,6.845230207,5929.695235,3176.740334,13643.03521,14651.01882,71.08695985,435.3061276,0.142220305,1.304498742,90.9122757,73.54695218,0.02240035,2.023240458,18.28306828,0.946497383,0.039563241
588356,Vitis_cinerea,192.1668887,209.8765636,1874.958079,20.79181685,7116.098531,3287.019887,17732.63684,9276.233646,79.01463336,779.1461632,0.334745407,2.589202461,121.5702029,150.9337698,0.016120395,3.398622281,7.633351538,0.341725878,0.05260942
588208,Vitis_cinerea,106.9024777,193.3786979,3350.167258,11.65287516,8888.987244,4113.366765,25203.9819,16690.55553,131.8196029,511.4983668,0.259259392,4.76988756,242.6283865,212.7441431,0.034964688,5.975816468,18.52852318,1.144002136,0.047408322
