leaf_stage,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
1,-0.062686615,-0.5731188,1.091714,-0.10097432,0.040216263,0.07619206,0.53243077,1.4318397,0.035641667,0.502778,-0.033131525,-0.14005008,0.28558633,-0.60065156,0.05182383,0.3424169,1.3799089,1.5499262,0.08356067
1,,,-1.6753627,,-4.45055,,-2.3786585,1.1458707,,0.17499265,,,,,,2.2546532,4.1822495,2.6012645,
1,-0.41044903,0.077669844,0.39038485,-0.09091601,1.1295401,0.06819969,1.2576107,0.30424199,0.15878671,0.03443514,0.19735113,0.52416426,1.6482238,0.025208253,0.056647975,-0.5935405,0.10366918,0.03009824,0.084733635
1,-0.3317715,1.2368947,0.22821163,-0.036608323,1.0966479,0.07053679,-2.0909119,2.0392778,0.29615933,1.9987402,1.2234876,0.5950104,1.8659937,0.29328707,0.06063035,-0.7646556,0.62744504,0.05792716,0.052005973
1,-0.077841245,1.6835275,0.45123896,-0.05215173,1.3684431,0.07633433,-0.08599215,2.9665225,-0.051739864,1.3227984,0.46310347,-0.048001014,0.80369353,0.2926008,0.07681938,-0.6945108,2.4244978,2.634271,0.1125402
1,0.21131514,1.4871947,-0.15439701,-0.08822005,0.8691297,0.07330612,-0.3121262,2.0501323,0.11700871,1.6689786,0.39396867,0.086403124,1.7107544,0.10753064,0.07886097,-0.74987966,2.2318873,1.3906819,0.073827475
1,-0.44312382,-0.48064765,3.5909553,-0.041847702,2.543872,0.07225848,0.1521695,5.9610157,1.0013775,2.9406333,1.7007967,1.4105468,5.547181,3.1883993,0.0692965,0.5345255,4.5209336,1.4677297,0.10831876
1,-0.077680156,1.184589,-0.5100185,-0.08847404,1.1988282,0.07074461,-0.19478758,2.4835818,-0.07985454,1.0141692,0.25322908,0.13284652,1.4012575,0.469031,0.053828612,-0.7629005,1.900561,4.343405,0.07705066
1,-0.0861608,0.72480124,0.84284544,-0.06954863,0.5484619,0.072685644,1.6073354,-0.03167459,0.07546735,0.9291389,0.60339546,0.94011104,0.567641,-0.017838592,0.07432528,-0.3658219,-0.32802153,1.7467918,0.079776704
1,-0.35978818,1.6021968,-0.28687605,-0.073507145,0.76805234,0.07007452,-0.35827488,1.9352669,0.96481985,0.7093049,0.48871893,1.2883451,2.572437,2.430961,0.096450955,0.120684825,0.6172902,3.2200763,0.22165145
1,-0.2338409,-0.8485846,-1.3725549,-0.08929123,-1.0176841,0.0689949,-1.7664433,-0.17962372,0.3694147,0.9430353,0.40433997,-0.0583198,1.0139264,0.013643317,0.07852036,-1.1117095,-0.134507,-0.7794383,0.11577807
1,-0.5271537,-0.8678859,0.3420843,-0.08147825,1.6375151,0.07184903,1.3132172,1.1659402,0.03676396,0.75843835,0.30408803,0.30101788,1.5723394,0.28680214,0.069794826,-0.48296663,0.5387043,7.3388214,0.070862755
1,-0.42379302,0.04376457,-0.507113,-0.05248423,0.6110742,0.07226286,1.2686316,0.6474408,0.22623017,0.269346,0.2997135,1.3352634,1.0804851,0.9065329,0.0849229,-0.14941448,-0.19199635,1.1614205,
1,-0.18026863,0.47139856,-0.21578239,-0.036195308,0.78793967,0.07233087,0.3180185,0.25588542,-0.04720735,0.7003411,0.35866064,0.7247216,2.2329438,1.0040815,0.08318377,0.17044537,-0.4391589,2.958598,0.09408016
1,-0.5516007,-0.84993327,0.70724,-0.0843188,-1.2637969,0.06909246,-1.0661632,1.1553671,-0.16431291,0.43168193,-0.042482335,-0.15636863,0.37599772,-0.23453122,0.060657002,-0.7145576,0.5896207,0.24073415,0.057093304
1,-0.24332877,1.7891484,1.4171981,-0.051245805,0.77035797,0.0710596,0.1542494,2.3348277,-0.018153856,0.5739659,-0.027312154,0.8437898,0.5360372,-0.04035721,0.10979789,0.032943077,2.051696,2.4276984,0.14922445
1,-0.56977946,-0.6306521,-0.7751094,-0.06354014,-0.15425459,0.07056436,-0.2935186,0.258216,-0.06819108,0.71093816,0.8082882,0.11751866,1.3225374,0.057601295,0.07029141,0.8480494,-0.12662707,1.6550989,0.054229822
1,0.31884417,-0.0288313,0.7736711,-0.06388548,0.68297607,0.06949243,0.23928292,1.756593,0.31026995,0.94181955,0.66450626,1.3197962,1.2253345,0.53401124,0.06515759,-0.5751033,0.9478231,1.0887055,0.10209755
1,-0.13245997,-0.10768063,0.012073431,-0.015299667,1.0259981,0.0719717,0.4204558,1.7824603,0.2761249,1.5043794,0.7143089,0.25974095,1.6999316,0.19180535,0.07366858,-0.18899687,0.7977291,2.0591354,0.09952123
