IVNO,genus_species,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
483182,6,179.8457682,75.48713327,3114.597941,22.99691924,2054.374868,2042.135693,11638.28488,20770.02625,76.32292855,698.95775,0.297556375,0.508944334,14.40647736,155.6547545,0.018583287,1.872965693,30.90265912,0.347228731,0.033103665
483178,6,78.02156972,122.8691001,1963.589729,25.68214099,1653.793161,2041.422153,19172.65897,11328.1172,45.33821582,745.0297537,0.298178273,0.448299749,14.16587935,102.7310892,0.017556904,2.289693499,13.24942856,0.222445515,0.014153045
483165,6,95.63352137,83.47254464,4028.855531,25.83758283,3067.735093,2268.90403,4519.343588,22472.68723,69.75729338,539.6048379,0.163152316,0.335124477,22.95629318,138.9792618,0.020651308,0.307143574,23.97466988,0.356983876,1.316582669
588483,6,109.7153329,61.75323712,1863.869907,30.00344726,2708.374125,2571.733522,11629.44698,18591.59477,88.27373209,1022.096078,0.292082851,0.584972436,19.23984338,150.7043509,0.024865008,1.041780648,20.38063653,0.395240101,0.017452219
483181,6,104.3418443,64.50113482,4078.130635,24.87728769,5868.270431,2897.820187,5631.535722,30796.75861,65.18416592,926.4454233,0.38345428,0.7518656,33.33140974,158.8117361,0.019073232,0.732880155,34.09724485,0.655778218,0.046233681
588404,6,114.2508854,179.4647859,2661.999916,29.02682777,5264.007596,2858.084669,10031.72829,23258.21531,100.7052393,770.610159,0.277064158,0.532310329,21.5674552,149.8203032,0.014512771,1.233090267,29.10179538,0.382523979,0.028636887
588400,6,98.73177259,214.4701677,2008.449601,21.25759069,8101.462486,2845.598642,6207.963665,32537.79832,74.85455849,780.5419984,0.231899365,0.417170969,26.17810576,107.3534742,0.017856051,0.961858724,44.17047423,0.732644222,0.026177179
588261,6,98.1005921,183.2840983,4890.111058,17.06200379,2973.101843,3858.20295,16533.66908,30702.70166,116.3278968,1914.142521,0.376974353,0.78176451,20.49766168,251.745941,0.019888099,1.158160192,33.40533719,0.535947929,0.031891123
588260,6,101.4036908,92.91998817,2838.341294,23.44034979,6605.000247,3737.846158,8934.034891,28516.35491,103.2871102,754.521435,0.242205618,0.469284366,22.28643315,188.465908,0.020495993,0.859021135,28.90638247,0.410890074,0.019325483
588436,6,88.49264757,97.93570498,4802.281062,19.09835965,3677.705495,4814.350371,9963.325967,26805.12401,64.53138727,831.9001269,0.284170228,0.482230525,33.37620934,321.9086772,0.015934214,1.463455557,40.30405746,0.834512629,0.044493525
588272,6,87.34067601,83.61617011,3169.681831,26.01308242,7243.671979,2552.046697,5114.037931,23833.75181,179.9541577,826.6885781,0.283193933,0.576700514,23.08078227,187.1463706,0.01970995,0.417477723,28.72149495,0.4215755,0.031392059
588346,6,89.61748799,137.5104579,1751.548701,24.54951263,3927.509937,3785.326671,9516.547719,13249.21584,107.7203067,770.8916789,0.249379688,0.491189044,25.86417691,139.0931063,0.027243912,0.565170835,13.11494045,0.524220707,0.016002752
279897,6,130.4404937,77.51562779,3009.433057,11.61367377,8286.203475,2505.657903,13786.69273,27560.67701,43.42589682,611.1213201,0.211570755,0.350685057,17.63936552,85.32926112,0.014130348,1.389747475,34.550365,0.362793277,0.016902067
588270,6,86.34807388,161.3677937,2813.284402,31.55014508,4362.922037,2283.095425,9333.654904,13820.23881,105.2388427,882.1347969,0.287348939,0.538150805,21.41855787,164.8316394,0.030156526,0.753964707,12.62161793,0.507969457,0.031867208
588262,6,190.8082902,245.4755997,2091.132717,28.94914513,4559.7605,3700.459171,6951.669928,21217.29443,99.30818391,2117.288413,0.547705109,0.946908659,23.30806794,303.9275154,0.047558017,1.105987973,17.87669759,0.393179066,0.025147644
588344,6,92.86066706,225.5617925,3292.434571,22.81985129,6029.50842,3773.511,9068.990147,27298.34086,208.4391965,1092.351098,0.471349609,0.851564991,24.45827005,206.1214935,0.020948733,1.061986556,29.08121577,0.451714289,0.029493648
588304,6,120.2462588,114.9058625,2883.096774,13.74455482,5309.118436,3142.09734,13558.01318,36719.28407,76.52391504,1016.152911,0.273953795,0.480654656,22.2352296,131.0608655,0.010006366,1.227136622,62.05019222,0.554128178,0.024617584
588437,6,100.2438099,50.42878701,2494.762976,11.67695178,3509.106771,2645.301996,15912.72905,20754.62824,98.5891224,850.618279,0.236990939,0.389724062,17.00322883,145.9546402,0.017006042,2.041247622,25.11800075,0.532524342,0.029656309
588349,6,78.38476512,216.6853156,2026.83527,18.90978376,3672.636844,3645.746555,7430.734606,47434.06717,97.16221813,762.6667283,0.250406417,0.59326738,20.90287949,190.3805496,0.012192632,0.44008411,46.86175513,0.537072546,0.035232394
588350,6,156.7989091,74.80624057,2817.098178,44.25761044,5015.64814,3181.685682,5855.794676,23257.25374,122.3220894,911.0836582,0.272473979,0.557800493,35.6558706,195.8479421,0.04190323,0.625706631,26.95737285,0.640872861,0.027711879
588354,6,88.03188787,57.14552004,2003.771622,16.1113348,4331.334118,2477.294736,12951.41529,35030.29291,53.91229846,595.9607736,0.188772518,0.396966014,31.05476063,105.2958023,0.024607903,1.698760389,48.83108764,0.40572208,0.020802561
588374,6,94.83440617,79.19701472,2659.414461,12.88961637,3227.864438,2508.895962,7889.258889,27589.03273,179.94842,611.700984,0.196780256,0.395843419,15.13251238,112.9568594,0.013664595,0.442542151,35.49971374,0.370185505,0.021755221
588259,6,112.149222,92.35541811,2137.903695,23.87194914,3336.958459,3268.449999,10451.21551,34405.21214,120.6091769,835.3407661,0.290408636,0.651316849,38.66820605,139.558124,0.011542508,1.347975546,34.52234414,0.612214365,0.027481105
588373,6,110.1516612,132.3204246,3887.478853,17.71899549,9638.118679,3351.697409,6611.397806,25094.22533,189.6255197,1055.873896,0.368349975,0.647844351,19.94681698,228.6580714,0.014885546,0.581001216,31.00991804,0.586405016,0.031579051
588406,6,100.7510354,93.11216918,2843.402467,22.33048448,4069.455423,2728.565837,12217.91345,45416.80296,83.50262216,820.8810342,0.21524549,0.489102501,23.52066927,135.281305,0.018093422,0.760878087,45.64704621,0.433422236,0.024223261
