IVNO,genus_species,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
160_271_192,Vitis_rup_rip,27.95869686,15.09249436,3103.740503,4.940130371,2503.495141,1455.287701,9002.937684,19543.70354,29.79969353,32.74822906,0.09642888,0.457328676,10.0721739,22.94883127,0.005205291,10.98082176,13.48784023,0.161462629,0.007586945
160_271_193,Vitis_rup_rip,14.4714762,12.35602128,2567.427793,4.779900258,2144.139531,968.8106914,8191.414253,15188.89648,28.06357368,29.373096,0.115011958,0.454103353,8.382351899,13.96422228,0.004813915,6.161520717,9.455462366,0.14955844,0.008365127
160_271_194,Vitis_rup_rip,19.90290104,11.35589833,2420.575567,4.860798638,2310.724724,1181.341091,7485.377579,15040.75897,27.88668939,35.49451167,0.165624578,0.61657699,9.014363983,25.23684673,0.00464432,10.96017912,9.113127726,0.121080895,0.00777578
160_271_195,Vitis_rup_rip,18.81348482,20.18039988,1960.298825,4.842761151,2670.844488,1738.839771,8780.412732,9514.439677,24.10828879,20.4113752,0.114667396,0.513552348,10.07354796,21.8082587,0.006371702,15.30061643,3.903578876,0.147538477,0.005277825
160_271_196,Vitis_rup_rip,9.859238192,19.22101692,1386.154192,2.706384492,2350.191134,1963.233121,11677.83971,8550.786563,23.19394155,24.24758847,0.088004151,0.263770953,12.12583235,11.79577158,0.002892051,10.14115498,5.098450665,0.163523556,0.005821333
160_271_197,Vitis_rup_rip,25.34740161,11.00959687,3939.654103,4.440987377,1761.724622,1502.554211,5225.274856,27855.35582,32.27327506,49.99569638,0.088306133,0.657254505,7.675290783,9.407053007,0.004597516,5.065217262,18.12301887,0.1426273,0.008706387
160_271_198,Vitis_rup_rip,27.49944648,11.29570406,3489.520416,3.477370294,2142.019916,1450.837176,7813.744036,23028.23192,23.74003433,30.7043908,0.093977353,0.523998901,9.226383355,15.61621966,0.001961555,8.620082709,16.16446875,0.143330842,0.006019205
160_271_199,Vitis_rup_rip,23.3297485,9.372606217,3762.315202,51.07099451,2679.338391,1296.139519,6051.022899,32675.78849,119.5669404,51.6553094,0.271042606,0.961155004,8.859715282,17.82650007,0.023548704,5.93576184,22.84632369,0.1257741,0.007683592
160_271_200,Vitis_rup_rip,18.93936384,13.59094821,3570.22292,5.689152937,2074.625291,1029.395449,5724.782429,20526.02027,23.86786254,44.98165034,0.11574265,0.413839715,7.64530598,21.70112353,0.004965788,4.642394966,14.45657899,0.116375734,0.009457692
160_271_201,Vitis_rup_rip,21.26393676,8.638228017,3047.566296,4.588473878,2259.752563,1256.896014,6945.132745,18828.74099,29.00005145,39.25208171,0.114926321,0.517537361,8.069380166,12.71414904,0.004326631,6.238490016,12.3761953,0.127984085,0.003756823
160_271_202,Vitis_rup_rip,28.45938253,8.997573615,4315.078651,6.004444828,2499.323434,1220.012669,6563.256322,26573.44679,34.25731193,40.50911965,0.141538254,0.467388371,8.937187201,22.57758903,0.006392723,4.871486895,20.1365158,0.164233644,0.006066917
160_271_203,Vitis_rup_rip,17.36617174,6.430304468,2313.924818,20.84646316,2337.776873,1916.76021,9491.730393,14714.70814,59.96382001,40.88983679,0.170414343,0.671391447,9.646469499,11.87576401,0.009882491,5.969126772,11.6019482,0.153764979,0.006948676
160_271_204,Vitis_rup_rip,23.87414154,11.40498917,3380.622131,4.008174536,2434.905039,1654.132763,6908.704259,22341.92393,31.83580589,31.83374206,0.074714594,0.460287127,9.466876888,15.29146159,0.005282065,4.644592171,14.75053397,0.170588145,0.004871412
160_271_205,Vitis_rup_rip,16.74391718,12.27376779,2380.375591,3.621363248,2678.211206,1248.904469,9601.55644,16032.84748,23.94989587,36.26758026,0.06373613,0.532999565,11.67068814,12.83958709,0.00367061,8.905819912,10.47547874,0.177665395,0.011145802
160_271_206,Vitis_rup_rip,18.01797004,7.915916011,2214.786381,2.63986725,2011.545178,1540.109747,6548.8805,22854.23899,26.90007985,37.23072932,0.069392498,0.348495516,8.190884533,10.97259953,0.005025468,2.733252083,14.59243831,0.291392622,0.006762048
160_271_207,Vitis_rup_rip,16.04153614,13.65297765,2044.649906,3.477083112,2259.464106,2174.967911,10415.70321,8613.494089,31.34579588,25.83685318,0.073101473,0.435976337,8.486343565,11.49167943,0.004730008,9.3838804,6.132379791,0.195313364,0.022947273
160_271_208,Vitis_rup_rip,13.62873641,21.90161687,1762.030361,1.497846126,3187.108293,2008.103594,13107.19204,10253.43998,18.24123688,20.10457751,0.07328695,0.217425373,10.1821249,29.37169866,0.002256751,10.49550971,5.910303231,0.263772886,0.004826166
