IVNO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
483165,6,67.55827235,59.9257008,1213.32103,9.444776912,3804.310564,2093.933229,12194.62333,5664.1645,44.9909166,355.7822605,0.128218964,0.260811413,27.62858226,73.8820312,0.00926547,0.996052993,5.776308719,0.190560663,0.02924739
588346,6,75.06926112,132.3261572,998.6358242,8.514907611,3639.045763,2351.417195,11639.44547,4374.286119,55.56441866,285.4779216,0.113631097,0.271825129,36.83648013,49.82962171,0.009523478,1.108182192,3.553821964,0.306113055,0.018463496
588400,6,74.74672334,40.14433477,1407.416529,5.231550934,5463.785872,2610.375093,13659.28394,11904.3217,62.51191533,231.5111528,0.092384191,0.207651626,25.44626737,44.55747177,0.008374832,2.572479577,15.45833507,0.443798536,0.018023279
588436,6,62.95769099,22.23385108,1811.606007,7.164618153,3373.619839,2404.797659,10792.80016,8976.122489,39.78810572,226.9181803,0.097263047,0.217751551,49.10290483,158.9411031,0.009738831,2.164167514,12.35217667,0.761982839,0.017845489
588354,6,80.65441276,33.56721885,1610.816616,7.609469738,4804.434945,2708.715681,13910.37786,18971.87618,41.77689655,315.3699426,0.116648926,0.261661665,41.16936702,62.43701217,0.010016414,2.518505604,27.28214647,0.40507182,0.011868669
588260,6,54.29388495,38.70155029,1319.382672,6.936173521,5207.82047,2582.409435,11937.46022,8743.256126,52.74342539,240.8370734,0.090601344,0.215435601,17.74376998,63.20935172,0.005268729,1.663231764,8.075860551,0.240221744,0.015023678
588374,6,60.51661508,35.9558522,1667.539824,6.830354262,3227.180877,2673.973617,10364.0152,13868.69462,107.8360159,301.1488405,0.103407114,0.396044222,16.84701501,69.82177625,0.008901653,0.93881467,18.34468401,0.224147411,0.012368092
588259,6,52.80911853,35.56694578,1234.861948,6.10543381,4112.065414,2922.980107,13330.97004,10663.83439,73.31594332,314.4088671,0.115996322,0.441240113,41.34812917,67.91119902,0.00399587,2.888815455,10.66571415,0.344849326,0.009708232
588272,6,131.3061066,46.10547238,1077.513161,6.582267887,4152.100493,2506.503358,7531.87056,12993.34262,86.39960546,285.2150436,0.10743365,0.281044304,24.74881373,66.07947341,0.007389622,0.634416289,17.91453261,0.353999081,0.01836853
588404,6,83.00515836,33.05526977,1518.245572,5.903691431,4125.384903,2446.352705,11958.33934,10007.47806,51.72952711,286.4329357,0.12938525,0.295121138,19.75234569,63.07019713,0.00470995,2.816644894,12.58122631,0.294870307,0.017432916
588261,6,86.43872866,29.82853985,1683.612691,6.882017675,3160.219521,2229.387957,14612.40839,14768.47232,70.96465787,324.526846,0.097648466,0.270504101,17.29583719,121.5409261,0.00982698,1.473503553,16.79948127,0.423869873,0.018327374
279897,6,101.4840778,68.6537657,1706.17874,6.974378609,5448.329797,2583.97973,13267.06154,14035.9219,45.35398824,212.1694166,0.094437679,0.195538136,25.96712455,47.58483787,0.010352288,2.601798938,17.53289052,0.285011936,0.012066519
588262,6,91.89014038,59.68749055,1290.607436,7.699531389,3808.417566,2562.047752,13128.00906,9555.696069,59.93065652,373.3274149,0.149734397,0.347943595,38.5800252,94.56749443,0.013541235,2.663303507,8.93678969,0.334395044,0.015165559
588344,6,57.66080854,59.02684483,1636.799013,9.869586304,3948.16255,2781.639227,6776.578182,16715.73764,177.1120944,473.5959885,0.256353855,0.432698667,24.52404194,87.44447533,0.010082241,1.526283277,17.94797276,0.309021292,0.018005364
588270,6,84.92991919,58.46169882,1296.981073,7.153586259,3541.668865,2229.90034,10474.3694,8121.312112,64.05521635,167.0332419,0.058490359,0.182505968,27.98684936,44.18962179,0.005913425,0.758693073,8.728825252,0.377587469,0.01078702
588373,6,95.95925591,43.96218031,1705.888336,5.67173091,5726.377962,2851.92296,11149.47823,12326.78343,134.2409676,328.9587808,0.134787756,0.284977282,27.83740181,81.27464393,0.007636566,1.548809604,16.21376675,0.353386858,0.017264179
588406,6,63.05567275,41.40657344,1595.080964,5.543102296,3218.369001,2138.07928,14371.58083,24810.16182,54.29242201,251.5647596,0.062469277,0.214174424,19.12644421,69.15278406,0.005279678,1.004703161,25.77424427,0.391364718,0.01682782
588304,6,60.39721497,21.61683626,1684.009313,5.165451226,5012.969013,2402.724279,16496.13141,13089.2897,51.05646412,154.4451452,0.070771617,0.143147345,24.69634834,46.43646506,0.003865254,2.336525217,22.12683013,0.362221261,0.02117927
588437,6,80.13337701,48.79833607,1594.623296,7.086970431,4780.592754,2128.500974,15897.73207,9266.653907,68.4298272,216.5092934,0.085957758,0.217337063,29.87256648,63.56861286,0.009145681,4.03021343,10.60515595,0.319780262,0.017096981
588350,6,83.35236121,78.77403216,1639.764553,9.755818028,5171.840889,3263.727749,13210.01305,8213.986653,59.88756174,411.8199798,0.1470997,0.357231664,38.35826397,95.56542499,0.007521714,2.182801076,8.355351005,0.405661856,0.01054639
588349,6,71.38935265,66.0936328,889.6883292,6.755501904,3479.407606,3178.339071,10138.14452,25610.11278,89.98159772,514.8646643,0.18358488,0.40174959,21.86680129,113.2876041,0.007797935,0.682931504,26.15396306,0.337396146,0.015923369
588181,7,94.64139196,28.11295049,2155.727148,4.765353701,4018.29994,1621.337736,10828.66415,6431.20359,52.64491417,226.8306172,0.090678183,0.26269701,37.48042896,60.74020005,0.007131494,3.498442871,6.169016752,0.285338903,0.019576124
588146,7,85.08381009,63.02830178,1618.8169,5.501618887,4730.270776,2422.439696,17250.47795,7779.22533,43.56165001,241.9783339,0.103761835,0.268404176,48.54359636,82.12348871,0.007764513,5.949850641,7.456954499,0.198830103,0.01396322
271662,7,59.48995615,45.63493835,1263.208074,6.501082314,4233.500808,1975.950935,17698.81529,2463.916662,51.89924519,377.9680146,0.163871722,0.381388464,52.20252083,71.84382338,0.008943602,4.251379599,1.713078809,0.46849271,0.011500913
588355,7,62.08107759,28.5873835,1454.492655,5.505208756,4865.717379,2627.16591,12823.21456,7558.192436,41.68509914,287.3953025,0.122899347,0.391229602,89.74915651,45.78256897,NA,1.878566459,9.088247816,0.460023023,0.017234986
588147,7,92.39202331,48.10581559,1964.563271,206.0251638,5196.340267,2258.932652,17377.4,4609.02759,63.10926651,242.9937061,0.131324942,0.879530301,75.53272841,79.76474107,0.181777148,13.38485493,22.67370828,0.226899609,0.049705811
588188,7,87.6349544,91.61598437,2289.52388,5.298789177,5387.046379,2359.388658,17476.19817,6753.063368,55.28042984,247.7181489,0.094182342,0.360829792,64.21484317,54.1229287,0.0041576,5.508300872,18.53534403,0.251814001,0.027466119
588330,7,68.94068945,45.74807968,1300.208256,7.649097791,5708.028556,1954.949902,15010.77547,4745.424315,52.53177097,300.0015534,0.128295707,0.371092099,75.36200817,83.07667424,0.003558984,4.838380544,4.52408519,0.402688168,0.071435427
588228,7,93.13222992,44.3006549,2168.866086,6.724850305,6225.199949,2323.957355,18751.2371,7732.118759,92.93459305,253.1840916,0.086976824,0.460777499,53.97605343,76.32257219,0.000326948,1.659497229,8.484179077,0.385660518,0.03358217
588227,7,69.63006171,54.81415123,1445.929191,5.058024092,4325.794685,1686.050543,12340.4648,8590.377462,51.91516865,236.4678788,0.096973133,0.448369874,51.51165672,54.84251268,0.014295966,1.91509458,9.85989399,0.30244482,0.023333411
588224,7,71.85496274,24.52819156,1445.482059,4.800487544,3920.382558,2506.220109,13805.44961,6933.019622,46.62182887,317.1291337,0.125593863,0.351818288,58.65728841,52.25238509,0.001252984,1.679070602,8.248903978,0.299319948,0.025981286
588683,7,63.15540618,35.84147509,2185.339696,7.290917003,5159.036796,2084.715438,11360.94233,9884.782871,54.90158915,333.3705964,0.130463152,0.361131559,40.43168598,75.04715123,0.01896427,2.383471149,11.7226961,0.389286293,0.012003025
588574,7,95.05116962,21.15107479,1472.193363,5.184364679,3385.34878,1939.579406,6754.266366,7549.917695,37.42410343,246.6690512,0.097825781,0.328660109,32.41484665,36.92913474,0.005548657,2.773209824,7.882304361,0.349970191,0.079751216
588684,7,58.68311986,24.06346836,2385.355894,8.07391811,4984.543563,2507.016841,10597.87663,14355.07313,64.97421724,349.1423079,0.110714959,0.33181364,59.47263268,68.6187097,0.001467016,1.085557683,17.3057999,0.345386262,0.022001907
588384,7,88.91614354,66.08815085,1847.679468,7.412007525,3658.076653,2195.653484,9804.950378,11636.7686,41.40231074,383.083768,0.127318304,0.381805907,44.00488994,85.91170885,0.005471973,2.658657315,13.5193117,0.224273493,0.053195541
588454,7,120.8484459,85.27699923,1898.034774,7.208973334,2489.542181,2399.824805,10319.8733,11714.4823,57.16929002,315.2382179,0.107224114,0.448590006,31.09801673,66.15963627,0.007594228,3.215457921,15.48737551,0.617579855,0.013403497
588540,7,73.1546933,34.72959583,1741.340571,5.119230832,3756.977368,2272.688852,11968.77797,14624.67258,53.82459403,300.0824244,0.117751099,0.406630381,43.2579211,80.94548543,0.009763514,0.687329812,15.7640116,0.140426329,0.057005481
588333,7,115.2607706,53.92316767,1980.041138,7.080876452,3659.428619,1793.99376,11299.63807,7080.727662,47.15576889,296.9327306,0.094553533,0.331579484,46.33098106,62.56982408,0.008462137,1.05392812,6.575250401,0.257962531,0.030732903
588160,7,73.28353125,30.95793204,1912.079731,5.380071557,4137.564152,2184.217209,12332.91129,8450.286858,45.91006526,368.1731361,0.123886105,0.526035257,27.94104453,74.15821622,0.004923237,2.085912119,10.70835836,0.316845009,0.012910731
588174,7,80.89556925,35.39860525,1874.376525,6.697927107,3638.181141,2689.453845,9919.702629,9747.934276,44.75844087,208.3568707,0.097282316,0.465185591,56.56596964,53.47850471,0.006573292,2.399545919,11.54143406,0.380220818,0.028298561
588331,7,71.83498972,60.67058404,2250.264632,8.72961136,4633.569649,2254.841172,6723.095906,13084.34775,50.22157817,315.6322053,0.107807862,0.239290688,38.30689773,64.31664615,0.005729659,1.056383329,14.83959834,0.317303975,0.021534285
588401,7,70.90959366,35.84182904,1353.36839,7.721755359,3895.535934,2385.9,12282.83174,7178.535282,41.97282846,292.5511283,0.102314875,0.364487003,73.37252967,58.38426603,0.006179597,2.433937337,10.44243075,0.262241072,0.017183057
588415,7,60.69103198,58.51488046,1767.915299,6.937343024,4238.283239,3094.366379,11373.60522,7004.844101,56.93685518,270.0374526,0.127879142,0.256126834,45.79453536,52.71027116,0.002811745,3.225151349,8.342928866,0.20195711,0.018119096
