,MO_ID,E_ID,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42
0,MO_531_E35.jpg,E352,7205.833,11325.166,7200.5,11286.5,7136.5,11273.166,7072.5,11266.5,7661.5,11370.834,7622.833,11376.166,7641.5,11337.5,7853.5,10765.5,7830.5,10792.5,7815.5,10758.5,7196.5,10247,7198,10275.5,7149.5,10262.5,8931.5,12484.5,9845.833,11089.5,9579.5,10915.5,9813.5,10378.5,9311.5,8652.5,8789.5,8862.5,8635.5,8474.5,7573.5,6962.5
0,MO_532_E353.jpg,E353,5898,11586,5901.833,11529.5,5948.5,11497.5,6024.5,11490.833,5347.5,11617.5,5391.5,11619.5,5371.5,11573.5,5255.5,11041.5,5291.5,11077.5,5317.5,11033.5,5866.5,10383.5,5862.5,10419.5,5912.5,10397.5,4318.5,12575.5,3422.5,11687.5,3734.5,11422.5,3404.5,10762.5,3638.5,9304.5,4130.5,9376.5,4308.5,8586.5,5346.5,7242.5
0,MO_320,E26,2856.5,4871.5,2862.5,4850.5,2945.5,4876.5,2988.5,4868.5,2639.5,4845.5,2669.5,4846.5,2658.5,4822.5,2534.5,4493.5,2547.5,4507.5,2561.5,4491.5,2889.5,4311.5,2883.5,4331.5,2918.5,4330.5,1876.5,5346.5,1518.5,4454.5,1727.5,4473.5,1589.5,4173.5,1985.5,3301.5,2197.5,3457.5,2383.5,3229.5,3219.5,2589.5
0,MO_321,E27,6086.5,10978.5,6068.5,10900.5,5962.5,10898.5,5886.5,10880.5,6752.5,11034.5,6692.5,11028.5,6714.5,10992.5,6817.5,10303.5,6787.5,10327.5,6742.5,10285.5,6253.5,9211.5,6247.5,9253.5,6187.5,9220.5,7755.5,12311.5,9030.5,10766.5,8622.5,10526.5,8958.5,9602.5,8142.5,7622.5,7932.5,7692.5,8146.5,7722.5,7330.5,5914.5
0,MO_322_E028,E28,3593,4882.5,3591,4844.5,3637,4830.5,3697,4822.5,3217,4862.5,3253,4868.5,3233,4840.5,3034,4279,3042,4298.5,3067.5,4278,3714.667,4004.833,3708.667,4032.833,3743.333,4022.833,2414,5797.5,1454,4301.5,1702,4241.5,1538,3457.5,2394,2290.5,2758,2722.5,3110,2360.5,3970,1686.5
0,MO_327,E33,6762.5,11753.5,6790.5,11661.5,6718.5,11625.5,6618.5,11649.5,7653.5,11638.5,7563.5,11650.5,7581.5,11584.5,7503.5,10798.5,7455.5,10870.5,7413.5,10816.5,6519.5,9826.5,6531.5,9886.5,6435.5,9856.5,9572.5,13247.5,10652.5,10199.5,10136.5,10139.5,10172.5,9047.5,9296.5,7139.5,8708.5,7583.5,8000.5,7079.5,6500.5,6995.5
0,MO_342,E52,7659.5,11382.5,7683.5,11312.5,7455.5,11350.5,7357.5,11352.5,8195.5,11652.5,8153.5,11654.5,8175.5,11588.5,8811.5,10555.5,8787.5,10583.5,8743.5,10519.5,7525.833,9866.833,7524.5,9925.5,7451.167,9904.167,9799.5,13547.5,11023.5,11931.5,10927.5,11403.5,11623.5,10297.5,10991.5,7461.5,10031.5,8005.5,9503.5,6921.5,6783.5,5305.5
0,MO_343,E56,6578.5,11485.5,6638.5,11446.5,6773.5,11485.5,6875.5,11461.5,5921.5,11338.5,6002.5,11368.5,5984.5,11302.5,5969.5,10543.5,5987.5,10591.5,6047.5,10552.5,6812.5,9922.5,6812.5,9979.5,6902.5,9949.5,4223.5,12928.5,3413.5,10924.5,3371.5,10429.5,3194.5,9352.5,4052.5,6832.5,4664.5,7192.5,5739.5,6799.5,8435.5,6191.5
0,MO_344,E57,5521.5,11265.5,5523.5,11211.5,5479.5,11195.5,5423.5,11199.5,5969.5,11381.5,5933.5,11381.5,5945.5,11349.5,6057.5,10813.5,6033.5,10841.5,6009.5,10797.5,5493.5,10361.5,5497.5,10401.5,5453.5,10381.5,7033.5,12113.5,7825.5,10685.5,7585.5,10685.5,7657.5,9869.5,6565.5,9293.5,6349.5,9293.5,6097.5,9317.5,5461.5,9185.5
0,MO_345,E58,4762.5,11766.5,4798.5,11709.5,4744.5,11667.5,4669.5,11661.5,5167.5,11757.5,5107.5,11760.5,5113.5,11715.5,5407.5,11172.5,5383.5,11208.5,5341.5,11163.5,4804.5,10749.5,4798.5,10794.5,4741.5,10770.5,5983.5,12285.5,6829.5,11421.5,6601.5,11340.5,6901.5,10584.5,6388.5,8910.5,6028.5,9201.5,5860.5,8799.5,4456.5,7329.5
0,MO_399,E127,3501.5,4875.5,3477.5,4839.5,3525.5,4819.5,3585.5,4819.5,3235.5,4938.5,3204.833,4943.833,3222.167,4921.167,3071.833,4518.833,3086.5,4537.5,3099.833,4512.167,3513.167,4130.833,3510.5,4150.833,3547.833,4152.167,2279.5,5637.5,1775.5,4593.5,1919.5,4521.5,1771.5,4065.5,2179.5,3017.5,2507.5,3189.5,2635.5,2913.5,3491.5,2105.5
0,MO_400,E128,3420.167,4490.833,3405.5,4464.167,3336.167,4496.167,3294.5,4500.5,3745.5,4410.5,3727.5,4428.5,3718.5,4398.5,3688.167,3859.833,3687.5,3875.167,3663.5,3866.5,3270.5,3732.5,3275.5,3754.5,3240.5,3758.5,4829.5,4701.5,4720.5,3313.5,4570.5,3377.5,4492.5,2849.5,3544.5,2360.5,3484.5,2708.5,3052.5,2645.5,3055.5,2492.5
0,MO_401,E129,4199.5,4508.167,4197.833,4471.167,4112.833,4574.833,4064.833,4584.167,4512.5,4477.5,4467.167,4481.5,4487.167,4445.5,4678.833,3988.167,4665.5,4005.5,4649.5,3976.167,4164.833,3622.167,4170.167,3644.833,4135.5,3634.167,5612.5,5247.5,6226.5,4039.5,5942.5,3993.5,6062.5,3435.5,5788.5,2365.5,5428.5,2577.5,5198.5,2213.5,3966.5,1847.5
0,MO_402,588160 (Rupestris parent),3325.167,4844.5,3333.167,4823.167,3387.167,4847.167,3424.5,4852.5,3102,4733.5,3126.5,4747.5,3127.5,4725.5,3071.5,4363.167,3078.833,4377.833,3095.5,4368.5,3480.5,4384.5,3473,4395.5,3498.5,4398.5,2278.5,4930.5,2182.5,4138.5,2298.5,4122.5,2366.5,3722.5,2978.5,3234.5,3134.5,3330.5,3603.5,3310.5,4243.5,3493.5
0,MO_404,E131,7103.5,11352.5,7115.5,11274.5,6887.5,11322.5,6743.5,11322.5,7937.5,11562.5,7853.5,11544.5,7883.5,11478.5,8105.5,10422.5,8051.5,10464.5,8015.5,10398.5,6941.5,9354.5,6941.5,9402.5,6857.5,9390.5,9395.5,13245.5,11135.5,11107.5,10691.5,10898.5,11187.5,9629.5,9547.5,7797.5,9183.5,7289.5,8575.5,6425.5,6015.5,5129.5
